"Bureau of Justice Statistics",,,,,,,,,,,,,
"Filename:  p9907.csv",,,,,,,,,,,,,
"Table #:7.  The 10 highest and lowest jurisdictions for selected characteristics ",,,,,,,,,,,,,
"of the prison population, yearend 1999",,,,,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7. The 10 highest and lowest jurisdictions for selected characteristics",,,,,,,,,,,,,
"of the prison populations, yearend 1999",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Prison",,"Number of ",,"Incarceration","Rate per 100,000",,,"1- year growth","Percent",,"Growth since","Average annual",
"population",,"inmates",,"rates, 1999","State residents/a",,,"1998-99","change",,"1990","percent change/b",
,,,,,,,,,,,,,
"10 highest:",,,,,,,,,,,,,
"Texas ",,163190,,"Louisiana",776,,,"Idaho",12.9,"%","Texas",11.8,"%"
"California",,163067,,"Texas",762,,,"Wisconsin",10.9,,"Idaho",10.6,
"Federal",,135246,,"Oklahoma",662,,,"Federal",9.9,,"Federal",9.5,
"New York",,73233,,"Mississippi",626,,,"Colorado",9.5,,"West Virginia",9.5,
"Florida",,69596,,"Alabama",549,,,"Mississippi",9.4,,"Hawaii",9.3,
"Ohio",,46842,,"South Carolina",543,,,"Oregon",9.2,,"Tennessee",9.0,
"Michigan",,46617,,"Georgia",532,,,"Wyoming",9.0,,"Mississippi",8.9,
"Illinois",,44660,,"Nevada",509,,,"Alabama",8.7,,"Utah",8.8,
"Georgia",,42091,,"Arizona",495,,,"Montana",8.0,,"Montana",8.4,
"Pennsylvania",,36525,,"Delaware",493,,,"Arkansas",7.3,,"Colorado",8.3,
,,,,,,,,,,,,,
"10 lowest:",,,,,,,,,,,,,
,,,,,,,,,,,,,
"North Dakota",,943,,"Minnesota",125,,,"Rhode Island",-12.8,"%","Dist. of Columbia",-0.1,"%"
"Vermont",,1536,,"Maine",133,,,"Dist. of Columbia",-12.0,,"Maine",1.3,
"Wyoming",,1713,,"North Dakota",137,,,"Massachusetts",-3.8,,"Rhode Island",2.1,
"Maine",,1716,,"New Hampshire",187,,,"Alaska",-3.6,,"Alaska",2.6,
"New Hampshire",,2257,,"Rhode Island",193,,,"Ohio",-3.3,,"Massachusetts",3.0,
"South Dakota",,2506,,"West Virginia",196,,,"North Carolina ",-2.7,,"South Carolina",3.0,
"Montana",,2954,,"Vermont",198,,,"Iowa",-2.2,,"Maryland",3.2,
"Rhode Island",,3003,,"Nebraska",217,,,"Nevada",-1.6,,"New York",3.2,
"West Virginia",,3532,,"Utah",245,,,"Hawaii",-0.4,,"Michigan",3.5,
"Nebraska",,3688,,"Washington",251,,,"Nebraska",0.3,,"Ohio",4.4,
,,,,,,,,,,,,,
"a/The number of prisoners with a sentence of more than 1 year per 100,000 residents in the ",,,,,,,,,,,,,
"State population.  The Federal Bureau of Prisons and the District of Columbia are excluded.",,,,,,,,,,,,,
"b/The average annual percent change from 1990 to 1999.",,,,,,,,,,,,,
