"Bureau of Justice Statistics",,,,,
"Filename:  p9908.csv",,,,,
"Table #:8.  Prisoners under the jurisdiction of State and federal correctional authorities,",,,,,
" by gender, yearend 1990, and 1999",,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,
"Data source:  National Prisoner Statistics-1",,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,
"Contact:  Allen Beck",,,,,
"Date of version:  8/3/00",,,,,
,,,,,
"Table 8. Prisoners under the jurisdiction",,,,,
"of State and federal correctional authorities, by gender,",,,,,
"yearend 1990, 1998 and 1999",,,,,
,,,,,
,,"Men",,"Women",
"All inmates",,,,,
,,,,,
"Advance 1999",,1276053,,90668,
"Final 1998",,1216219,,84354,
"Final 1990",,729840,,44065,
,,,,,
"Percent change,",,,,,
"    1998-99/a",,3.3,"%",4.4,"%"
"    Average annual",,,,,
"    1990-99",,6.4,"%",8.3,"%"
,,,,,
"Sentenced to more ",,,,,
"than 1 year",,,,,
"Advance 1999",,1222799,,82594,
"Final 1998",,1167802,,77600,
"Percent change,",,,,,
"    1998-99",,3.1,"%",4.4,"%"
,,,,,
"Incarceration rate/b",,,,,
"1999",,913,,59,
"1990",,572,,32,
,,,,,
"a/For comparisons, percents were based on ",,,,,
"comparable 1999 counts  1,256,327 males, ",,,,,
"88,042 females, 1,204,036 sentenced males, ",,,,,
"and 81,020 sentenced females.",,,,,
"b/The number of prisoners with sentences ",,,,,
"of more than 1 year per 100,000 residents ",,,,,
"on December 31.",,,,,
