"Bureau of Justice Statistics",,
"Filename:  p9912.csv",,
"Table #:12.  State prison population as a percent of capacity, yearend 1999",,
"Report title:  Prisoners in 1999 NCJ 183476",,
"Data source:  National Prisoner Statistics-1",,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,
"Contact:  Allen Beck",,
"Date of version:  8/3/00",,
,,
"Table 12.  State prison population as a percent",,
"of capacity, yearend 1999",,
,,
,,"State"
,,"prisons/a"
,,
"Highest capacity",,1115334
"Lowest capacity",,965487
,,
"Population as a ",,
"percent of capacity/b",,
"Highest",,
"  1990",,115
"  1995",,114
"  1998",,113
"  1999 (comparable)",,109
"  1999 (revised)",,101
,,
"Lowest",,
"  1990",,127
"  1995",,125
"  1998",,122
"  1999",,117
,,
"Note:  Data reflect the highest and lowest of ",,
"the three capacities reported.  In 1999 ",,
"California reported operational capacity for ",,
"the first time; for comparisons with previous ",,
"years, use 1,041,139 as the highest capacity ",,
"of State prisons.",,
"a/Capacity figures were estimated for  ",,
"Connecticut in 1995,1998 and 1999.",,
"b/Excludes inmates sentenced to prison",,
"but held in local jails and inmates in private ",,
"facilities (unless included in the reported ",,
"capacity).   See Jurisdiction notes. ",,
