"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,
"Filename:  p9916.csv",,,,,,,,,,,,,,,,,,,
"Table #:16.  Partitioning the total growth of sentenced prisoners ",,,,,,,,,,,,,,,,,,,
"under State jurisdiction, by offense and gender, 1990-98",,,,,,,,,,,,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,,,,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 16.  Partitioning the total growth of sentenced prisoners",,,,,,,,,,,,,,,,,,,
"under State jurisdiction, by offense and gender, 1990-98",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,"              All sentenced State prisoners",,,,,,"        Male prisoners",,,,,,"  Female prisoners",,,,,
,,,,,"Increase","Percent ",,,,,"Increase","Percent ",,,,,"Increase","Percent ",
,,1999,1998,,"1990-98","of total",,1990,1998,,"1990-98","of total",,1990,1998,,"1990-98","of total",
"          Total",,689600,1141700,,452100,100,"%",652800,1071400,,418600,100,"%",36700,70300,,33600,100,"%"
,,,,,,,,,,,,,,,,,,,
"Violent",,315900,545200,,229300,51,,304800,525100,,220300,53,,11100,20100,,9000,27,
,,,,,,,,,,,,,,,,,,,
"Property",,175000,242900,,67900,15,,163300,224500,,61200,15,,11700,18500,,6800,20,
,,,,,,,,,,,,,,,,,,,
"Drug ",,149700,236800,,87100,19,,137900,212900,,75000,18,,11800,23900,,12100,36,
,,,,,,,,,,,,,,,,,,,
"Public-order ",,45800,113900,,68100,15,,43900,106500,,62600,15,,1900,7500,,5600,17,
,,,,,,,,,,,,,,,,,,,
"Other",,3100,2800,,-300,,,2900,2500,,-400,,,200,200,,0,,
