"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p9921.csv",,,,,,,,,
"Table #:21.  Number of sentenced inmates in Federal prisons, ",,,,,,,,,
"by the most serious offense, 1990, 1995, and 1998",,,,,,,,,
"Report title:  Prisoners in 1999 NCJ 183476",,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck",,,,,,,,,
"Date of version:  8/3/00",,,,,,,,,
,,,,,,,,,
"Table 21.  Number of sentenced inmates in Federal prisons,",,,,,,,,,
"by the most serious offense, 1990,1995, and 1998",,,,,,,,,
,,,,,,,,,
,,"Numbre of sentenced inmates",,,,"Percent",,"Percent of ",
,,"in Federal prisons",,,,"change",,"total growth",
,,1990,1995,1998,,"1990-98",,"1990-98",
"   Total",,56989,88101,108925,,91.1,"%",100.0,"%"
,,,,,,,,,
"Violent offenses",,9557,11321,12656,,32.4,"%",6.0,"%"
"Homicide",,1233,966,1344,,9.0,,0.2,
"Robbery",,5158,6341,8773,,70.1,,7.0,
"Other violent",,3166,4014,2539,,-19.8,,-1.2,
,,,,,,,,,
"Property offenses",,7935,7524,8627,,8.7,"%",1.3,"%"
"Burglary",,442,164,249,,-43.7,,-0.4,
"Fraud",,5113,5629,6465,,26.4,,2.6,
"Other property",,2380,1731,1913,,-19.6,,-0.9,
,,,,,,,,,
"Drug offenses",,30470,51737,63011,,106.8,"%",62.7,"%"
,,,,,,,,,
"Public order",,8585,15762,22273,,159.4,"%",26.4,"%"
"Immigration",,1728,3612,7430,,330.0,,11.0,
"Weapons",,3073,7519,8742,,184.5,,10.9,
"Other",,3784,4631,6101,,61.2,,4.5,
,,,,,,,,,
"Other/unsepcified",,442,1757,2358,,433.5,"%",3.7,"%"
,,,,,,,,,
"Note: All data are from the BJS Federal justice database. ",,,,,,,,,
"Data for 1990 and 1995 are for December 31.  ",,,,,,,,,
"Data for 1998 are for September 30.  ",,,,,,,,,
"Numbers may differ from the Federal Bureau of Prisons' ",,,,,,,,,
"count because the Federal Justice Statistics Program includes prisoners in transit.   ",,,,,,,,,
"Data are based on all sentenced inmates, regardless of sentence length.",,,,,,,,,
"a/Includes murder, nonnegligent manslaughter, and negligent manslaughter.",,,,,,,,,
"b/Includes offenses not classifiable or not a violation of the United States Code.",,,,,,,,,
