"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"Filename:  p0106.csv",,,,,,,,,,,,,,,
"Table #6:  The 10 highest and lowest jurisdictions for selected characteristics of the prison population, yearend 2001",,,,,,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 6 . The 10 highest and lowest jurisdictions for selected characteristics of the prison population, yearend 2001",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"Rate per 100,000 State residents/a",,,,,,,,"Average percent change/b",
"Prison population",,"Number of inmates",,"Incarceration rates, 2001",,,,"1-year growth, 2000 to 2001",,"Percent change",,"Growth since 1995",,,
,,,,,,,,,,,,,,,
"10 highest:",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Texas",,162070,,"Louisiana",,800,,"West Virginia",,9.3,"%","North Dakota",,11.0,"%"
"California",,159444,,"Mississippi",,715,,"Alaska",,8.9,,"Idaho",,10.3,
"Federal",,156933,,"Texas",,711,,"Idaho",,8.5,,"Oregon",,9.8,
"Florida",,72406,,"Oklahoma",,658,,"Oregon",,8.3,,"West Virginia",,9.0,
"New York",,67534,,"Alabama",,553,,"Federal",,8.0,,"Montana",,8.9,
"Michigan",,48849,,"Georgia",,542,,"Hawaii",,7.9,,"Mississippi",,8.4,
"Georgia",,45937,,"South Carolina",,529,,"South Dakota",,7.5,,"Federal",,8.5,
"Ohio",,45281,,"Missouri",,509,,"Montana",,7.2,,"Colorado",,7.9,
"Illinois",,44348,,"Delaware",,504,,"Tennessee",,6.8,,"Tennessee",,7.7,
"Pennsylvania",,38062,,"Arizona",,492,,"New Mexico",,6.1,,"Utah",,7.3,
,,,,,,,,,,,,,,,
"10 lowest:",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"North Dakota",,1111,,"Maine",,127,,"New Jersey",,-5.5,"%","Massachusetts",,-1.8,"%"
"Wyoming",,1684,,"Minnesota",,132,,"Utah",,-5.2,,"Alaska",,-1.0,
"Maine",,1704,,"North Dakota",,161,,"New York",,-3.8,,"New York",,-0.2,
"Vermont",,1741,,"Rhode Island",,181,,"Texas",,-2.8,,"Ohio",,0.2,
"New Hampshire",,2392,,"New Hampshire",,188,,"California",,-2.2,,"New Jersey",,0.7,
"South Dakota",,2812,,"Vermont",,213,,"Illinois",,-2.1,,"Rhode Island",,0.8,
"Rhode Island",,3241,,"Nebraska",,225,,"Oklahoma",,-1.7,,"Maryland",,1.9,
"Montana",,3328,,"Utah",,230,,"Rhode Island",,-1.4,,"Florida",,2.1,
"Nebraska",,3937,,"West Virginia",,231,,"Ohio",,-1.2,,"South Carolina",,2.2,
"West Virginia",,4215,,"Massachusetts",,243,,"Massachusetts",,-1.1,,"Virginia",,2.3,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"a/The number of prisoners with a sentence of more than 1 year per 100,000 residents in the State population.  The Federal Bureau of Prisons and the District of Columbia are excluded. ",,,,,,,,,,,,,,,
"b/The average annual percent change from 1995 to 2001 in sentenced prisoners. ",,,,,,,,,,,,,,,
