"Bureau of Justice Statistics",,
"Filename:  p0111.csv",,
"Table #11:  State prison population as a percent of capacity, yearend 2001",,
"Report title:  Prisoners in 2001  NCJ 195189",,
"Data source:  National Prisoner Statistics",,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,
"Contact:  Allen Beck or Paige Harrison",,
"Date of version:  7/5/02",,
,,
"Table 11.  State prison population as a percent of capacity, yearend 2001",,
,,
,,"State prisons/a"
,,
"Highest capacity",,1140412
"Lowest capacity",,991017
,,
"Population as a percent of capacity/b",,
,,
"Highest",,
"   1990",,115
"   1995",,114
"   2000",,100
"   2001",,101
,,
"Lowest",,
"   1990",,127
"   1995",,125
"   2000",,115
"   2001",,116
,,
"Note:  Data reflect the highest and lowest of the three capacities reported. ",,
"a/Capacity figures were estimated for Connecticut in 2000 and 2001. ",,
"b/Excludes inmates sentenced to prison but held in local jails and inmates in privates (unless included in the reported capacity).  See Jurisdiction notes. ",,
