"Bureau of Justice Statistics",,,,,,,,,,,
"Filename:  p0112.csv",,,,,,,,,,,
"Table #12:  Number of detainees under the jurisdiction of the Immigration and Naturalization Service (INS), by type of facility, yearend 1995, 2000, and 2001",,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,
,,,,,,,,,,,
"Table 12.  Number of detainees under the jurisdiction of the Immigration and Naturalization Service (INS), by type of facility, yearend 1995, 2000, and 2001",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,"Percent of all detainees",,,
,,"                Number of detainees",,,,,,,,,
"Facility Type",,2001,2000,1995,,"Percent change, 2000-01",,2001,,1995,
,,,,,,,,,,,
"   Total*",,19137,19518,8177,,-2.0,"%",100,"%",100,"%"
,,,,,,,,,,,
"INS-operated",,4550,4785,3776,,-4.9,,23.8,,46.2,
"Private, under exclusive contract to INS",,,,,,,,,,,
,,1947,1829,652,,6.5,,10.2,,8.0,
"Federal Bureau of Prisons",,1276,1444,1282,,-11.6,,6.7,,15.7,
"Other Federal",,162,178,181,,-9.0,,0.8,,2.2,
"Intergovernmental agreements",,11201,11281,2286,,-0.7,,58.5,,28.0,
"   State prisons",,419,369,8,,13.6,,2.2,,0.1,
"   Local jails",,8681,8886,1984,,-2.3,,45.4,,24.3,
"   Other ",,2101,2026,294,,3.7,,11.0,,3.6,
,,,,,,,,,,,
"*Detail does not sum to total due to unknown facility type for 1 detainee in 2000 and 2001.",,,,,,,,,,,
