"Bureau of Justice Statistics",,,,,,,,
"Filename:  p0113.csv",,,,,,,,
"Table #13:  Prisoners under military jurisdiction, by branch of service, yearend 2000 and 2001",,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,
"Date of version:  7/5/02",,,,,,,,
,,,,,,,,
,,,,,,,,
"Table 13.  Prisoners under military jurisdiction, by branch of service, yearend 2000 and 2001",,,,,,,,
,,,,,,,,
,,,"Percent change, 2000-01",,"      Sentenced to more than 1 year",,"Percent change, 2000-01",
,"             Total",,,,,,,
"Branch of service to which prisoners belonged",2001,2000,,,2001,2000,,
,,,,,,,,
,,,,,,,,
"   Total",2436,2420,0.7,"%",1332,1346,-1.0,"%"
"Air Force",480,413,16.2,,267,253,5.5,
"Army",804,789,1.9,,600,585,2.6,
"Mrine Corps",628,730,-14.0,,236,280,-15.7,
"Navy",516,474,8.9,,226,222,1.8,
"Coast Guard",8,14,-42.9,,3,6,-50.0,
,,,,,,,,
"Holding prisoners",,,,,,,,
"   Total",2436,2420,0.7,"%",1332,1346,-1.0,"%"
"Air Force",126,102,23.5,,14,11,27.3,
"Army",981,994,-1.3,,822,831,-1.1,
"Mrine Corps",428,563,-24.0,,77,134,-42.5,
"Navy",901,761,18.4,,419,370,13.2,
