"Bureau of Justice Statistics",,,,,,,,,,,,
"Filename:  p0118.csv",,,,,,,,,,,,
"Table #18:  Partitioning by gender and offense the growth of the sentenced prison population under State jurisdiction, 1990-2000",,,,,,,,,,,,
"Report title:  Prisoners in 2001  NCJ 195189",,,,,,,,,,,,
"Data source:  National Prisoner Statistics",,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,
"Date of version:  7/5/02",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 18.  Partitioning by gender and offense the growth of the sentenced prison population under State jurisdiction, 1990-2000",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"        Total",,,,"        Male prisoners",,,,"  Female prisoners",,
,,"Increase 1990-2000","Percent of total",,,"Increase 1990-00","Percent of total",,,"Increase 1990-00","Percent of total",
,,,,,,,,,,,,
"          Total",,516800,100,"%",,477300,100,"%",,39700,100,"%"
,,,,,,,,,,,,
"Violent",,273200,53,,,260300,55,,,12900,33,
,,,,,,,,,,,,
"Property",,63500,12,,,56000,12,,,7500,19,
,,,,,,,,,,,,
"Drug ",,101400,20,,,88500,19,,,12900,33,
,,,,,,,,,,,,
"Public-order ",,78800,15,,,72500,15,,,6300,16,
