"Bureau of Justice Statistics",,,,,,,,
"Filename:  p0206.csv",,,,,,,,
"Table 6:  Women under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2001, and 2002",,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,
"Date of version:  07/27/03",,,,,,,,
,,,,,,,,
"Table 6. Women under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2001, and 2002",,,,,,,,
,,,,,,,,
,"Number of female inmates",,,"Percent change          ",,,,
,2002,2001,1995,"2001 to 2002 ","     ","Average 1995 to 2002/a     ",,"Incarceration 'rate, 2002/b       "
,,,,,,,,
"U.S. Total",97491,92979,68468,4.9,"%",5.2,"%",60
,,,,,,,,
"Federal",11234,10973,7398,2.4,"%",6.1,"%",6
"State",86257,82006,61070,5.2,,5.1,,54
,,,,,,,,
"Northeast",9381,9108,8401,3.0,"%",1.6,"%",29
"Connecticut",1694,1447,975,17.1,,8.2,,52
"Maine",90,59,36,52.5,,14.0,,12
"Massachusetts/c",704,713,656,-1.3,,1.0,,11
"New Hampshire",144,129,109,11.6,,4.1,,22
"New Jersey",1586,1628,1307,-2.6,,2.8,,36
"New York",2996,3133,3615,-4.4,,-2.6,,30
"Pennsylvania",1821,1711,1502,6.4,,2.8,,29
"Rhode Island",214,193,157,10.9,,4.5,,11
"Vermont",132,95,44,38.9,,17.0,,26
,,,,,,,,
"Midwest",15302,14872,10864,2.9,"%",5.0,"%",46
"Illinois",2520,2747,2196,-8.3,,2.0,,39
"Indiana/c",1583,1542,892,2.7,,8.5,,50
"Iowa",703,635,425,10.7,,7.5,,47
"Kansas",537,497,449,8.0,,2.6,,39
"Michigan/c",2267,2149,1842,5.5,,3.0,,44
"Minnesota",455,383,217,18.8,,11.2,,18
"Missouri",2274,2124,1174,7.1,,9.9,,78
"Nebraska",352,342,211,2.9,,7.6,,38
"North Dakota",103,101,29,2.0,,19.8,,31
"Ohio",2929,2829,2793,3.5,,0.7,,50
"South Dakota",225,220,134,2.3,,7.7,,58
"Wisconsin",1354,1303,502,3.9,,15.2,,48
,,,,,,,,
"South",41559,39135,27366,6.2,"%",6.2,"%",71
"Alabama",1697,1783,1295,-4.8,,3.9,,71
"Arkansas",854,851,523,0.4,,7.3,,61
"Delaware",542,591,358,-8.3,,6.1,,54
"Florida",4595,4282,3660,7.3,,3.3,,54
"Georgia",3129,2834,2036,10.4,,6.3,,72
"Kentucky",1282,1138,734,12.7,,8.3,,59
"Louisiana",2238,2362,1424,-5.2,,6.7,,96
"Maryland",1264,1207,1079,4.7,,2.3,,40
"Mississippi",2082,1823,791,14.2,,14.8,,126
"North Carolina/c",2175,2042,1752,6.5,,3.1,,37
"Oklahoma",2336,2290,1815,2.0,,3.7,,131
"South Carolina",1671,1509,1045,10.7,,6.9,,71
"Tennessee/c",1735,1468,637,18.2,,15.4,,58
"Texas",13051,12369,7935,5.5,,7.4,,96
"Virginia",2546,2240,1659,13.7,,6.3,,68
"West Virginia",362,346,129,4.6,,15.9,,37
,,,,,,,,
"West",20015,18891,14439,5.9,"%",4.8,"%",57
"Alaska",349,359,243,-2.8,,5.3,,47
"Arizona",2428,2168,1432,12.0,,7.8,,81
"California/c",10050,9921,9082,1.3,,1.5,,54
"Colorado",1566,1375,713,13.9,,11.9,,70
"Hawaii",669,616,312,8.6,,11.5,,69
"Idaho",631,541,212,16.6,,16.9,,94
"Montana",345,363,112,-5.0,,17.4,,75
"Nevada",851,841,530,1.2,,7.0,,80
"New Mexico",516,517,278,-0.2,,9.2,,52
"Oregon",812,661,465,22.8,,8.3,,46
"Utah",377,315,161,19.7,,12.9,,31
"Washington",1254,1079,793,16.2,,6.8,,40
"Wyoming/c",167,135,106,23.7,,6.7,,67
,,,,,,,,
"a/The average annual percent increase from 1995 to 2002.",,,,,,,,
"b/The number of female prisoners with sentences of more than 1 year per 100,000 U.S. residents. ",,,,,,,,
"c/Growth from 1995 to 2002 may be slightly overestimated due to a change in reporting from custody to jurisdiction counts. ",,,,,,,,
