"Bureau of Justice Statistics",,,,,,
"Filename:  p0215.csv",,,,,,
"Table 15:  Estimates number of sentenced prisoners under State jurisdiction, by offense,  gender, race, and Hispanic origin, 2001",,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,
"Date of version:  07/27/03",,,,,,
,,,,,,
"Table 15.  Estimated number of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, 2001",,,,,,
,,,,,,
,"All","Male","Female","White","Black","Hispanic"
"          Total",1208700,1132500,76200,424200,548800,205300
,,,,,,
"Violent offenses",596100,571700,24400,208100,267700,102600
"Murder/a",159200,150700,8500,51500,77100,27800
"Manslaughter",16900,15000,1900,6300,6300,3500
"Rape",30900,30600,300,15100,11700,2700
"Other sexual assault",87600,86600,1000,50700,21300,12600
"Robbery",155200,150100,5200,34100,91100,26200
"Assault",118800,113200,5600,38700,50300,25300
"Other violent /b",27400,25500,1900,11700,10000,4700
,,,,,,
"Property offenses",233000,213100,20000,101800,92300,32500
"Burglary",104700,101300,3400,45700,41200,14700
"Larceny",45500,39600,5800,17400,20300,6100
"Motor vehicle theft",18000,17300,700,6900,6700,4200
"Fraud ",33700,25400,8400,17100,13000,3100
"Other property/c",31100,29500,1600,14700,11100,4500
,,,,,,
"Drug offenses",246100,222900,23200,57300,139500,47000
,,,,,,
"Public-order offenses/d",130000,121700,8300,55900,47200,22300
,,,,,,
"Other/unspecified/e",3600,3200,400,900,1700,800
,,,,,,
"Note:  Data are for inmates with a sentence of more than 1 year under the jurisdiction of State correctional authorities. The number of inmates by offense were estimated using the Survey of Inmates in State Correctional Facilities, 1997 an",,,,,,
"a/Includes nonnegligent manslaughter. ",,,,,,
"b/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency charges, liquor law violations, and other public-order offenses. ",,,,,,
"c/Includes juvenile offenses and unspecified felonies. ",,,,,,
