"Bureau of Justice Statistics",,,,,,,,
"Filename:  p02t1.csv",,,,,,,,
"Highlights Table:  The 5 highest and lowest jurisdictions for selected characteristics of the prison population, December 31, 2002",,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,
"Date of version:  07/27/03",,,,,,,,
,,,,,,,,
"Highlights Table.  The 5 highest and lowest jurisdictions for selected characteristics of the prison population, December 31, 2002",,,,,,,,
,,,,,,,,
"Prison population","Number of inmates",,"Incarceration rate, 12/31/02","Rate per 100,000 State residents*",,"12-month growth 12/31/01 to 12/31/02","Percent change",
,,,,,,,,
"5 highest:",,,,,,,,
"Federal",163528,,"Louisiana",794,,"Maine",11.5,"%"
"California",162317,,"Mississippi",743,,"Rhode Island",8.6,
"Texas",162003,,"Texas",692,,"Connecticut",7.9,
"Florida",75210,,"Oklahoma",667,,"Colorado",7.9,
"New York",67065,,"Alabama",612,,"Minnesota",7.9,
,,,,,,,,
"5 lowest:",,,,,,,,
"North Dakota",1112,,"Maine",141,,"Alaska",-3.8,"%"
"Wyoming",1737,,"Minnesota",141,,"Illinois",-3.7,
"Vermont",1863,,"North Dakota",161,,"Delaware",-3.2,
"Maine",1900,,"Rhode Island",191,,"Massachusetts",-2.4,
"New Hampshire",2451,,"New Hampshire",192,,"Montana",-1.1,
,,,,,,,,
"*Prisoners with a sentence of more than 1 year per 100,000 in the resident population. ",,,,,,,,
