"Bureau of Justice Statistics",,,,
"Filename:  p02t2.csv",,,,
"Text Table 2:  Percent of prisoners under State or Federal jurisdiction, by race and Hispanic origin",,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,
"Data source:  National Prisoner Statistics-1B",,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,
"Authors:  Paige Harrison and Allen Beck",,,,
"Date of version:  07/27/03",,,,
,,,,
"Text Table 2.  Percent of prisoners under State or Federal jurisdiction, by race and Hispanic origin",,,,
,,,,
,"Percent of prisoners under State or Federal jurisdiction",,,
,1995,,2002,
"Total",100.0,"%",100,"%"
"White",33.5,,34.2,
"Black",45.7,,45.1,
"Hispanic",17.6,,18.1,
"Other",3.2,,2.6,
"*Based on inmates with sentences of more than 1 year.",,,,
