Bureau of Justice Statistics,,,,,,,,
Filename: p0307,,,,,,,,
"Table 7: State and Federal prisoners held in private facilities or local jails, by jurisdiction, yearend 2002 and 2003. ",,,,,,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  11/07/04,,,,,,,,

"Table 7. State and Federal prisoners held in private facilities or local jails, by jurisdiction, yearend 2002 and 2003. ",,,,,,,,

,       Private facilities,,,,         Local jails     ,,,
                 ,2003,2002,Percent of all inmates/a           ,,2003,2002,Percent of all inmates/a        ,
U.S. Total,"95,522","93,912",6.5,%,"73,343","72,550",5.0,%
,,,,,,,,
Federal/b,"21,865","20,274",12.6,,"3,278","3,377",1.9,
State,"73,657","73,638",5.7,,"70,065","69,173",5.4,
,,,,,,,,
Northeast,"3,201","3,146",1.8,%,"1,911","2,234",1.1,%
Connecticut,0,0,0.0,, -- , -- , -- ,
Maine,30,8,1.5,,0,0,0.0,
Massachusetts,0,0,0.0,,361,375,3.5,
New Hampshire,0,0,0.0,,7,11,0.3,
New Jersey/c,"2,636","2,601",9.7,,"1,542","1,528",5.7,
New York,0,0,0.0,,1,320,0.0,
Pennsylvania,535,537,1.3,,0,0,0.0,
Rhode Island/c,0,0,0.0,, -- , -- , -- ,
Vermont/c,0,0,0.0,, -- , -- , -- ,
,,,,,,,,
Midwest,"4,957","6,748",2.0,%,"2,386","1,801",1.0,%
Illinois,0,0,0.0,,0,0,0.0,
Indiana,652,843,2.8,,"1,724","1,262",7.5,
Iowa,0,0,0.0,,0,0,0.0,
Kansas,0,0,0.0,,0,0,0.0,
Michigan,480,460,1.0,,42,30,0.1,
Minnesota,0,0,0.0,,283,221,3.6,
Missouri,0,0,0.0,,0,0,0.0,
Nebraska,0,0,0.0,,0,0,0.0,
North Dakota,0,23,0.0,,44,9,3.6,
Ohio,"1,901","1,927",4.2,,0,0,0.0,
South Dakota,25,32,0.8,,29,12,1.0,
Wisconsin,"1,899","3,463",8.4,,264,267,1.2,
,,,,,,,,
South,"48,222","46,091",8.2,%,"60,810","60,036",10.3,%
Alabama,"1,698",0,5.8,,"1,340","2,449",4.6,
Arkansas,0,0,0.0,,"1,016","1,172",7.8,
Delaware,0,0,0.0,, -- , -- , -- ,
Florida,"4,330","4,173",5.4,,48,47,0.1,
Georgia,"4,589","4,573",9.7,,"4,949","4,975",10.5,
Kentucky,"1,640","1,635",9.9,,"3,969","3,657",23.9,
Louisiana,"2,918","2,929",8.1,,"16,549","16,022",45.9,
Maryland,122,127,0.5,,234,168,1.0,
Mississippi,"3,463","3,435",14.9,,"4,724","4,550",20.4,
North Carolina,215,186,0.6,,0,0,0.0,
Oklahoma,"6,022","6,470",26.4,,"1,869","1,497",8.2,
South Carolina,44,21,0.2,,424,415,1.8,
Tennessee,"5,049","4,200",19.9,,"6,283","6,717",24.7,
Texas,"16,570","16,773",9.9,,"13,331","12,375",8.0,
Virginia,"1,562","1,569",4.5,,"5,106","5,024",14.6,
West Virginia,0,0,0.0,,968,968,20.3,
,,,,,,,,
West,"17,277","17,653",6.0,%,"4,958","5,102",1.7,%
Alaska,"1,386","1,360",30.6,, -- , -- , -- ,
Arizona,"2,323","1,965",7.5,,174,232,0.6,
California,"3,507","4,649",2.1,,"2,415","2,591",1.5
Colorado,"3,013","2,452",15.3,,221,160,1.1
Hawaii,"1,478","1,347",25.4,, -- , -- , -- 
Idaho,"1,267","1,266",21.5,,239,295,4.1
Montana,"1,059",963,29.3,,567,419,15.7
Nevada,0,434,0.0,,190,177,1.8
New Mexico,"2,751","2,690",44.2,,0,0,0.0
Oregon,0,0,0.0,,0,0,0.0
Utah,0,0,0.0,,"1,065","1,170",18.5
Washington/c,0,0,0.0,,0,0,0.0
Wyoming,493,527,26.3,,87,58,4.6
                                                 ,,,,,                                           ,,
 -- Not applicable. Prison and jails form an integrated system.,,,,,,,
a/Based on the total number of inmates under State or Federal jurisdiction.,,,,,,,
"b/Includes Federal inmates held in non-secure privately operated facilities (6,471 in 2003 and 6,598 in 2002). ",,,,,,,
c/Inmates held in other State facilities include interstate compact cases. ,,,,,,,
