Bureau of Justice Statistics,
Filename: p0309,
"Table 9:  State prison population as a percent of capacity, 1995-2003",
Report title:  Prisoners in 2003 NCJ 205335,
"Data source:  National Prisoner Statistics, 1B",
Authors:  Paige M. Harrison and Allen J. Beck,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,
Date of version:  11/07/04,

"Table 9.  State prison population as a percent of capacity, 1995-2003",

,State prisons
Highest capacity,"1,169,213"
Lowest capacity,"1,008,961"

Population as a percent of capacity*,
Highest,
1995,114
2000,100
2001,101
2002,101
2003,100
,
Lowest,
1995,125
2000,115
2001,116
2002,117
2003,116

*Excludes prisoners held in local jails and in privately operated facilities (unless included in the reported capacity). ,
