Bureau of Justice Statistics,,,,,,,,,
Filename: p0312,,,,,,,,,
"Table 12: Number of sentenced prisoners under State or Federal jurisdiction per 100,000 residents, by gender, race, Hispanic origin, and age, 2003",,,,,,,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,
Date of version:  11/07/04,,,,,,,,,

"Table 12. Number of sentenced prisoners under State or Federal jurisdiction per 100,000 residents, by gender, race, Hispanic origin, and age, 2003",,,,,,,,,

,,,,Number of sentenced prisoners,,,,,
,,       Males,,,,,       Females,,
Age,Total/a,White/b,Black/b,Hispanic,,Total/a,White/b,Black/b,Hispanic
Total,915,465,"3,405","1,231",,62,38,185,84
18-19,597,266,"2,068",692,,28,15,80,39
20-24,"1,996",932,"7,017","2,267",,112,71,286,138
25-29,"2,380","1,090","9,262","2,592",,147,99,406,152
30-34,"2,074","1,042","7,847","2,440",,164,109,456,181
35-39,"1,895","1,017","6,952","2,226",,170,106,491,209
40-44,"1,584",873,"5,854","1,995",,133,82,386,192
45-54,899,501,"3,500","1,329",,60,36,190,97
55 or older,208,141,747,397,,8,5,22,16

"Note: Based on estimates of the U.S. resident population on July 1, 2003, using intercensal estimates for July 1, 2002 (by gender, race, and Hispanic origin) and adjusted to the July 1, 2003, estimates by gender. ",,,,,,,,,
"a/Includes America Indians, Alaska Native, Asians, Native Hawaiians, and other Pacific Islanders. ",,,,,,,,,
b/Excludes Hispanics. ,,,,,,,,,
