Bureau of Justice Statistics,,,,,
Filename: p03t03,,,,,
"Text table 3: Number of State and Federal inmates held in local jails, 2000 to 2003",,,,,
Report title:  Prisoners in 2003 NCJ 205335,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,
Date of version:  11/07/04,,,,,


"Text table 3. Number of State and Federal inmates held in local jails, 2000 to 2003",,,,,

,Total,State,Federal,Percent of inmates,
2003,"73,343","70,065","3,278",5,%
2002,"72,550","69,173","3,377",5,
2001,"70,681","67,760","2,921",5,
2000,"63,140","60,702","2,438",4.5
