Bureau of Justice Statistics,,,,,,,,
Filename: p0410,,,,,,,,
"Table 10: Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, 2004",,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  10/18/05,,,,,,,,

"Table 10. Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, 2004",,,,,,,,

,,,Number of sentenced prisoners,,,,,
,,       Males,,,,       Females,,
,Total/a,White/b,Black/b,Hispanic,Total/a,White/b,Black/b,Hispanic
Total,"1,337,700","449,300","551,300","260,600","96,100","42,500","32,100","15,000"
18-19,"23,300","5,500","10,900","5,500","1,300",500,500,300
20-24,"210,700","57,900","91,000","49,100","12,100","5,400","4,000","2,200"
25-29,"237,700","68,700","103,300","54,200","15,300","6,300","5,300","2,800"
30-34,"221,200","71,300","90,200","47,900","14,900","6,400","4,900","2,500"
35-39,"210,300","71,300","88,800","39,300","19,800","8,600","6,800","2,900"
40-44,"183,000","68,200","76,700","27,800","16,400","7,700","5,100","2,200"
45-54,"182,700","72,200","70,900","27,300","13,500","6,200","4,700","1,700"
55 or older,"67,200","33,700","18,600","9,000","2,700","1,400",700,400

"Note: Based on estimates by gender, race, Hispanic origin, and age from the 2003-04 Survey of Inmates in State Correctional Facilities (forthcoming) and updated from jurisdiction counts by gender at yearend. ",,,,,,,,
Estimates were rounded to the nearest 100. See Methodology for details. ,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,
b/Excludes Hispanics and persons identifying two or more races. ,,,,,,,,
