Bureau of Justice Statistics,,,,,,,,,,
Filename: p0414,,,,,,,,,,
"Table 14: Number of sentenced inmates in Federal prisons, by most serious offense, 1995, 2000, and 2003",,,,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
Date of version:  10/18/05,,,,,,,,,,

"Table 14. Number of sentenced inmates in Federal prisons, by most serious offense, 1995, 2000, and 2003",,,,,,,,,,

,,Number of sentenced inmates in Federal prisons,,,,,,,,
,,1995,2000,2003,"Percent change, 1995-2003",,"Percent of total growth, 1995-2003",,,
   Total,,"88,658","131,739","158,426",78.7,%,100.0,%,,
,,,,,,,,,,
Violent offenses,,"11,409","13,740","16,688",46.3,%,7.6,%,,
Homicide/a,,"1,068","1,363","2,632",146.4,,2.2,,,
Robbery,,"8,377","9,712","10,398",24.1,,2.9,,,
Other violent,,"1,964","2,665","3,658",86.3,,2.4,,,
,,,,,,,,,,
Property offenses,,"7,842","10,135","11,283",43.9,%,4.9,%,,
Burglary,,177,462,567,220.3,,0.6,,,
Fraud,,"5,823","7,506","8,241",41.5,,3.5,,,
Other property,,"1,842","2,167","2,475",34.4,,0.9,,,
,,,,,,,,,,
Drug offenses,,"52,782","74,276","86,972",64.8,%,49.0,%,,
,,,,,,,,,,
Public-order,,"15,655","32,325","42,325",170.4,%,38.2,%,,
Immigration,,"3,420","13,676","16,903",394.2,,19.3,,,
Weapons,,"7,446","10,822","16,377",119.9,,12.8,,,
Other,,"4,789","7,827","9,045",88.9,,6.1,,,
,,,,,,,,,,
Other/unspecified/b,,970,"1,263","1,158",19.4,%,0.3,%,,

"Note: All data are from the BJS Federal justice database. Data are for September 30 and based on sentenced inmates, regardless of sentence length.  ",,,,,,,,,,
"a/Includes murder, nonnegligent manslaughter, and negligent manslaughter. ",,,,,,,,,,
b/Includes offenses not classifiable. ,,,,,,,,,,
