Bureau of Justice Statistics,,,,,,,,
Filename: p04t07,,,,,,,,
"Text table 7: Prisoners under military jurisdiction, by branch of service, yearend 2003 and 2004",,,,,,,,
Report title:  Prisoners in 2004 NCJ 210677,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  10/18/05,,,,,,,,

"Text table 7. Prisoners under military jurisdiction, by branch of service, yearend 2003 and 2004",,,,,,,,
,Total,,,,Sentenced to more than 1 year,,,
Branch of service,2004,2003,"Percent change, 2003-04",,2004,2003,"Percent change, 2003-04",
To which prisoners belonged,,,,,,,,
Total,"2,177","2,165",0.6,%,"1,295","1,258",2.9,%
Air Force,400,391,2.3,,243,251,-3.2,
Army,853,840,1.5,,614,572,7.3,
Marine Corps,495,539,-8.2,,241,229,5.2,
Navy,409,377,8.5,,188,199,-5.5,
Coast Guard,20,18,11.1,,9,7,28.6,
,,,,,,,,
Holding prisoners,,,,,,,,
Total,"2,177","2,165",0.6,%,"1,295","1,258",2.9,%
Air Force,109,105,3.8,,11,17,-35.3,
Army,998,967,3.2,,811,763,6.3,
Marine Corps,416,441,-5.7,,153,134,14.2,
Navy,564,652,0.3,,320,344,-7.0,
