Bureau of Justice Statistics,,,,,,,,,
Filename: p05t01,,,,,,,,,
"Table 1: Number of persons held in State or Federal prisons or in local jails, 1995-2005",,,,,,,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,,
Date of version:  11/29/06,,,,,,,,,

"Table 1. Number of persons held in State or Federal prisons or in local jails, 1995-2005",,,,,,,,,

,,,      Prisoners in custody on December 31,,,,,,
Year,Total inmates in custody/a,,Federal,,State,,Inmates held in local jails,,Incarceration rate/b
1995,"1,585,586",,"89,538",,"989,004",,"507,044",,601
2000,"1,937,482",,"133,921",,"1,176,269",,"621,149",,684
2001,"1,961,247",,"143,337",,"1,180,155",,"631,240",,685
2002,"2,033,022",,"151,618",,"1,209,331",,"665,475",,701
2003,"2,081,580",,"161,673",,"1,222,135",,"691,301",,712
2004,"2,135,335",,"170,535",,"1,243,745",,"713,990",,723
2005,"2,193,798",,"179,220",,"1,259,905",,"747,529",,737

"Percent change, 12/31/04-12/31/05",2.7,%,5.1,%,1.3,%,4.7,%,
"Average annual increase, 12/31/95 - 12/31/05",3.3,%,7.2,%,2.5,%,4,%,

Note: Counts include all inmates held in public and private adult correctional facilities. ,,,,,,,,,
"a/Total counts include Federal inmates in non-secure privately operated facilities (7,144 in 2005, 7,065 in 2004, 6,471 in 2003, 6,598 in 2002, 6,515 in 2001, and 6,143 in 2000).",,,,,,,,,
"b/Number of prison and jail inmates per 100,000 U.S. residents at yearend. ",,,,,,,,,
