Bureau of Justice Statistics,,,,,,,,
Filename: p05t10,,,,,,,,
"Table 10: Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, yearend 2005",,,,,,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  11/29/06,,,,,,,,

"Table 10. Number of sentenced prisoners under State or Federal jurisdiction, by gender, race, Hispanic origin, and age, yearend 2005",,,,,,,,

,,,Number of sentenced prisoners,,,,,
,,       Males,,,,       Females,,
Age,Total/a,White/b,Black/b,Hispanic,Total/a,White/b,Black/b,Hispanic
Total,"1,362,500","459,700","547,200","279,000","98,600","45,800","29,900","15,900"
18-19,"26,300","7,200","11,800","5,600","1,200",500,400,200
20-24,"218,700","62,700","94,200","50,400","11,900","5,300","3,600","2,300"
25-29,"244,800","67,000","106,600","59,600","15,300","6,700","4,700","2,900"
30-34,"224,200","69,800","92,000","51,100","17,400","8,100","5,100","2,900"
35-39,"207,200","72,300","81,600","41,600","19,400","9,000","6,000","3,000"
40-44,"185,200","70,900","71,000","31,600","16,500","7,800","5,100","2,400"
45-54,"189,800","76,300","71,100","29,500","13,800","6,500","4,300","1,800"
55 or older,"63,500","32,900","17,600","9,000","3,000","1,800",700,300
"Note: Based on estimates by gender, race, Hispanic origin, and age from the 2004 Survey of Inmates in State Correctional Facilities and updated from jurisdiction counts by gender at yearend 2005. Estimates were rounded to the nearest 100.  See Methodology for details.",,,,,,,,
Estimates were rounded to the nearest 100. See Methodology for details. ,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,
b/Excludes Hispanics and persons identifying two or more races. ,,,,,,,,
