Bureau of Justice Statistics,,,,,,
Filename: p0512,,,,,,
"Table 12: Estimated number of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, 2003",,,,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,
Date of version:  11/29/06,,,,,,

"Table 12. Estimated number of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, 2003",,,,,,

,All inmates,Male,Female,White/a,Black/a,Hispanic
          Total,"1,256,400","1,173,600","82,800","453,400","562,100","219,200"
,,,,,,
Violent offenses,"650,400","621,600","28,800","227,100","294,000","116,600"
Murder/b,"151,500","142,800","8,700","46,900","72,200","28,600"
Manslaughter,"17,700","15,900","1,800","7,100","7,600","2,600"
Rape,"61,300","60,800",500,"31,500","21,900","6,700"
Other sexual assault,"87,500","86,300","1,200","49,300","20,000","16,600"
Robbery,"176,600","169,600","7,000","39,500","106,300","28,300"
Assault,"124,200","116,900","7,300","40,000","53,400","28,100"
Other violent ,"31,700","29,300","2,400","12,700","12,600","5,600"
,,,,,,
Property offenses,"262,000","237,100","24,900","120,100","100,700","37,200"
Burglary,"137,600","132,100","5,500","61,000","53,600","21,000"
Larceny,"49,000","41,200","7,800","21,900","20,400","6,000"
Motor vehicle theft,"20,600",19500,"1,100","8,200","7,000","4,900"
Fraud ,"30,400","21,700","8,700","16,700","11,100","2,100"
Other property,"24,400","22,600","1,800","12,300","8,600","3,100"
,,,,,,
Drug offenses,"250,900","226,800","24,100","64,800","133,100","50,100"
,,,,,,
Public-order offenses/c,"86,400","82,000","4,400","38,500","31,800","14,100"
,,,,,,
Other/unspecified/d,"6,800",6200,600,"2,900","2,500","1,200"

"Note: Data are for inmates with a sentence of more than 1 year under the jurisdiction of State correctional authorities. The numbers of inmates by gender were based on jurisdiction counts at yearend (NPS-1); numbers by race and Hispanic origin were based on data from the 2004 Survey of Inmates in State Correctional Facilities (forthcoming); and numbers within each category by offense were estimated using the National Corrections Reporting Program, 2003. ",,,,,,
All estimates were rounded to the nearest 100. Detail may not add due to rounding. ,,,,,,
a/Excludes Hispanics. ,,,,,,
b/Includes nonnegligent manslaughter. ,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency charges, liquor law violations, and other public-order offenses. ",,,,,,
d/Includes juvenile offenses and unspecified felonies. ,,,,,,
