Bureau of Justice Statistics,,,,,,,,
Filename: p05t14,,,,,,,,
"Table 14: Number of sentenced inmates in Federal prisons, by most serious offense, 1995, 2000, and 2003",,,,,,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version:  11/29/06,,,,,,,,

"Table 14. Number of sentenced inmates in Federal prisons, by most serious offense, 1995, 2000, and 2003",,,,,,,,

,,Number of sentenced inmates in Federal prisons,,,,,,
Offense,,2003,2000,1995,"Percent change, 1995-2003",,"Percent of total growth, 1995-2003",
   Total,,"158,426","131,739","88,658",78.7,%,100,%

Violent offenses,,"16,688","13,740","11,409",46.3,%,7.6,%
Homicide/a,,"2,632","1,363","1,068",146.4,,2.2,
Robbery,,"10,398","9,712","8,377",24.1,,2.9,
Other violent,,"3,658","2,665","1,964",86.3,,2.4,

Property offenses,,"11,283","10,135","7,842",43.9,%,4.9,%
Burglary,,567,462,177,220.3,,0.6,
Fraud,,"8,241","7,506","5,823",41.5,,3.5,
Other property,,"2,475","2,167","1,842",34.4,,0.9,

Drug offenses,,"86,972","74,276","52,782",64.8,%,49,%

Public-order,,"42,325","32,325","15,655",170.4,%,38.2,%
Immigration,,"16,903","13,676","3,420",394.2,,19.3,
Weapons,,"16,377","10,822","7,446",119.9,,12.8,
Other,,"9,045","7,827","4,789",88.9,,6.1,

Other/unspecified/b,,"1,158","1,263",970,19.4,%,0.3,%

"Note: All data are from the BJS Federal justice database. Data are for September 30 and based on sentenced inmates, regardless of sentence length.  ",,,,,,,,
"a/Includes murder, nonnegligent manslaughter, and negligent manslaughter. ",,,,,,,,
b/Includes offenses not classifiable. ,,,,,,,,
