Bureau of Justice Statistics,,,,,
Filename: p05tt06,,,,,
"Text table 6: Detainees under the jurisdiction of the Bureau of Immigration and Customs Enforcement (ICE), by type of facility, yearend 1995, 2004, and 2005",,,,,
Report title:  Prisoners in 2005 NCJ 215092,,,,,
"Data source:  National Prisoner Statistics, 1B",,,,,
Authors:  Paige M. Harrison and Allen J. Beck,,,,,
Refer questions to:  askbjs@usdoj.gov   202-307-0765,,,,,
Date of version:  11/29/06,,,,,

,Number of detainees,,,,
Facility type,2005,2004,1995,"Percent change, 2004-05",
Total,"19,562","19,057","8,177",2.6,%
ICE-operated facilities,"3,782","4,545","3,776",-16.8,
Private facilities under exclusive contract to ICE,"2,365","1,678",652,40.9,
Federal Bureau of Prisons,860,"1,214","1,282",-29.2,
Other Federal facilities,46,50,181,-8,

Intergovernmental agreements,"12,509","11,570","2,286",8.1,%
State prisons,276,178,8,55.1,
Local jails,"8,322","7,877","1,984",5.6,
Other facilities,"3,911","3,515",294,11.3,
