Bureau of Justice Statistics,,,,,,,
Filename: p06at09,,,,,,,
"Appendix table 9: Estimated number of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2004.",,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 12/5/07,,,,,,,

"Appendix table 9. Estimated number of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2004.",,,,,,,
,,All inmates,Male,Female,White/a,Black/a,Hispanic
,Total,"1,274,600","1,188,800","85,800","445,400","492,300","242,700"
Violent,,"663,700","634,500","29,100","221,900","260,800","130,500"
,Murder/b,"151,500","143,000","8,500","44,500","62,900","30,800"
,Manslaughter,"17,700","16,000","1,700","7,000","6,500","2,900"
,Rape,"59,700","59,300",400,"28,800","19,500","7,400"
,Other sexual assault,"94,100","92,900","1,300","51,400","19,100","20,000"
,Robbery,"178,900","171,700","7,200","37,800","93,600","31,200"
,Assault,"129,400","121,700","7,600","40,100","48,100","32,100"
,Other violent,"32,300","29,900","2,400","12,300","11,300","6,200"
Property,,"265,600","239,100","26,500","116,900","87,600","43,200"
,Burglary,"135,700","130,100","5,600","57,400","46,100","23,500"
,Larceny,"50,400","42,100","8,300","21,600","17,900","7,200"
,Motor vehicle theft,"22,300","20,900","1,400","8,700","6,200","6,200"
,Fraud,"32,600","23,200","9,400","17,100","10,100","2,800"
,Other property,"24,600","22,800","1,800","12,100","7,300","3,600"
Drug offenses,,"249,400","224,800","24,600","65,900","112,500","51,800"
Public-order offenses/c,,"88,900","84,200","4,700","37,800","29,100","15,900"
Other/unspecified/d,,"6,900","6,200",800,"3,000","2,200","1,200"
"Note: Data are for inmates sentenced to more than 1 year under the jurisdiction of State correctional authorities. The estimates for gender were based upon jurisdiction counts at yearend (NPS-1B). The estimates by race and Hispanic origin were based on data from the 2004 Survey of Inmates of State Correctional Facilities updated by yearend jurisdiction counts; estimates within offense categories were based upon offense distributions from the National Corrections Reporting Program, 2004, updated by yearend jurisdiction counts. All estimates were rounded to the nearest 100.  Detail may not add to total due to rounding.",,,,,,,
a/Excludes Hispanics.,,,,,,,
b/Includes negligent manslaughter.,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency charges, liquor law violations, and other public-order offenses."
d/Includes juvenile offenses and other unspecified offense categories.
