Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p06bt02,,,,,,,,,,,,,,
Box table 2: Inmates in custody in State or Federal prisons or local jails at yearend 2006,,,,,,,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 12/5/07,,,,,,,,,,,,,,

Box table 2. Inmates in custody in State or Federal prisons or local jails at yearend 2006,,,,,,,,,,,,,,
,,,,2000,2001,2002,2003,2004,2005,2006,Percent change 2005-2006,,Growth rate 2000-2005/a,
Total inmates in custody,,,,"1,937,482","1,961,247","2,033,022","2,081,580","2,135,335","2,195,873","2,258,983",2.9,%,2.6,%
Federal prisoners/b,,,,,,,,,,,,,,
,Total,,,"140,064","149,852","158,216","168,144","177,600","186,364","190,844",2.4,%,5.3,%
,,Prisons,,"133,921","143,337","151,618","161,673","170,535","179,220","183,381",2.3,,5.4,
,,,Federal facilities,"124,540","130,601","137,942","146,279","152,832","159,318","163,118",2.4,,4.6,
,,,Privately operated facilities,"9,381","12,736","13,676","15,394","17,703","19,902","20,263",1.8,,13.7,
,,Community Corrections Centers/c,,"6,143","6,515","6,598","6,471","7,065","7,144","7,463",4.5,,3.3,
State prisoners,,,,,,,,,,,,,,
,Total,,,"1,176,269","1,180,155","1,209,331","1,222,135","1,243,745","1,261,980","1,302,129",3.2,%,1.7,%
,,State prison facilities,,"1,121,326","1,125,957","1,153,982","1,167,865","1,186,133","1,198,705","1,224,205",2.1,,1.5,
,,Privately operated facilities,,"75,292","71,661","73,638","73,842","73,860","80,387","86,065",7.1,,2.3,
Inmates held in local jails/d,,,,"621,149","631,240","665,475","691,301","713,990","747,529","766,010",2.5,,3.6,
Incarceration rate/e,,,,684,685,701,712,723,737,751,,,,
Note: Counts include all inmates held in public and private adult correctional facilities and in local jails.,,,,,,,,,,,,,,
a/Average annual percentage increase from 2000 through 2005.,,,,,,,,,,,,,,
"b/ As a result of the National Revitalization Act of 1997, District of Columbia (D.C.) inmates sentenced to more than 1 year were transferred to the Federal Bureau of Prisons.  This transfer was completed in 2001.",,,,,,,,,,,,,,
"c/Non-secure, privately operated community corrections centers.",,,,,,,,,,,,,,
d/Inmates held in local jails are for June 30 each year.  Counts were estimated from the Annual Survey of Jails  in every year except 2005 when a Census was conducted.,,,,,,,,,,,,,,
"e/Number of prison and jail inmates per 100,000 U.S. residents as of January 1 in each year following the reference year.",,,,,,,,,,,,,,
