Bureau of Justice Statistics,,,,,,,,,,
Filename: p06t11,,,,,,,,,,
"Table 11: Number and estimated percentage of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2004",,,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 11/28/07,,,,,,,,,,

"Table 11. Number and estimated percentage of sentenced prisoners under State jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2004",,,,,,,,,,
,,,Percent of all prisoners,,,,,,,
,,Number of prisoners,Violent,,Property,,Drug,,Public order,
,All inmates,"1,274,600",52.1,%,20.8,%,19.5,%,7,%
Gender,,,,,,,,,,
,Male,"1,188,800",53.4,%,20.1,%,18.9,%,7.1,%
,Female,"85,800",34,,30.9,,28.7,,5.5,
Race and Hispanic origin,,,,,,,,,,
,White*,"445,400",49.8,%,26.2,%,14.8,%,8.5,%
,Black or African American*,"492,300",53,,17.8,,22.9,,5.9,
,Hispanic or Latino,"242,700",53.8,,17.8,,21.4,,6.5,
"Note: Data are for inmates with a sentence of more than 1 year under the jurisdiction of State correctional authorities. For estimates, see Methodology. Detail may not add to total due to rounding.  See Appendix tables 9 and 10 for detailed offense categories.",,,,,,,,,,
*Excludes Hispanics or Latino persons.,,,,,,,,,,
