Bureau of Justice Statistics,,,,,,,,
Filename: p07at01.csv,,,,,,,,
"Appendix table 1. Male prisoners under jurisdiction of state or federal correctional authorities, December 31, 2000, 2006, and 2007",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Appendix table 1. Male prisoners under jurisdiction of state or federal correctional authorities, December 31, 2000, 2006, and 2007",,,,,,,,
,,Number of male prisoners,,,Average annual change,,Percent change,
Region and jurisdiction,,2000,2006,2007,2000-2006,,2006-2007,
U.S. Total/a,,"1,298,027","1,457,486","1,483,896",1.9,%,1.8,%
,Federal,"135,171","180,071","186,280",4.9,,3.4,
,State/a,"1,162,856","1,277,415","1,297,616",1.6,,1.6,
Northeast,,"165,744","168,087","169,400",0.2,%,0.8,%
,Connecticut/b,"16,949","18,972","19,428",1.9,,2.4,
,Maine,"1,613","1,975","2,070",3.4,,4.8,
,Massachusetts,"10,059","10,186","10,646",0.2,,4.5,
,New Hampshire,"2,137","2,633","2,741",3.5,,4.1,
,New Jersey,"28,134","25,943","25,417",-1.3,,-2,
,New York,"66,919","60,456","59,869",-1.7,,-1,
,Pennsylvania,"35,268","42,148","43,506",3,,3.2,
,Rhode Island/b,"3,048","3,716","3,736",3.4,,0.5,
,Vermont/b,"1,617","2,058","1,987",4.1,,-3.4,
Midwest,,"222,780","243,743","245,207",1.5,%,0.6,%
,Illinois,"42,432",/,/,:,,:,
,Indiana,"18,673","23,924","24,837",4.2,,3.8,
,Iowa/c,"7,363","8,049","8,015",1.5,,-0.4,
,Kansas,"7,840","8,178","8,071",0.7,,-1.3,
,Michigan,"45,587","49,407","48,153",1.4,,-2.5,
,Minnesota,"5,870","8,546","8,866",6.5,,3.7,
,Missouri,"25,550","27,588","27,335",1.3,,-0.9,
,Nebraska,"3,629","3,994","4,106",1.6,,2.8,
,North Dakota,"1,008","1,206","1,269",3,,5.2,
,Ohio,"43,025","45,465","46,909",0.9,,3.2,
,South Dakota,"2,416","3,009","2,942",3.7,,-2.2,
,Wisconsin,"19,387","21,991","22,216",2.1,,1,
South,,"521,562","575,711","591,075",1.7,%,2.7,%
,Alabama,"24,506","26,191","27,254",1.1,,4.1,
,Arkansas,"11,143","12,687","13,248",2.2,,4.4,
,Delaware/b,"6,324","6,615","6,699",0.8,,1.3,
,District of Columbia,"7,100",~,~,:,,:,
,Florida,"67,214","86,480","91,365",4.3,,5.6,
,Georgia/c,"41,474","49,235","50,711",2.9,,3,
,Kentucky,"13,858","17,942","20,016",4.4,,11.6,
,Louisiana,"32,988","34,623","35,082",0.8,,1.3,
,Maryland,"22,319","21,864","22,249",-0.3,,1.8,
,Mississippi,"18,572","19,279","20,469",0.6,,6.2,
,North Carolina,"29,363","34,774","35,344",2.9,,1.6,
,Oklahoma,"20,787","22,950","23,242",1.7,,1.3,
,South Carolina,"20,358","22,013","22,635",1.3,,2.8,
,Tennessee,"20,797","23,787","24,344",2.3,,2.3,
,Texas,"153,097","158,317","157,859",0.6,,-0.3,
,Virginia,"28,109","33,795","35,136",3.1,,4,
,West Virginia,"3,553","5,159","5,422",6.4,,5.1,
West,,"252,770","289,874","291,934",2.3,%,0.7,%
,Alaska/b,"3,889","4,551","4,603",2.7,,1.1,
,Arizona/c,"24,546","32,650","34,286",4.9,,5,
,California,"151,840","163,535","162,654",1.2,,-0.5,
,Colorado,"15,500","20,179","20,506",4.5,,1.6,
,Hawaii,"4,492","5,233","5,232",2.6,,0,
,Idaho,"5,042","6,347","6,519",3.9,,2.7,
,Montana,"2,799","3,209","3,161",2.3,,-1.5,
,Nevada,"9,217","11,765","12,221",4.2,,3.9
,New Mexico,"4,831","5,972","5,890",3.6,,-1.4
,Oregon,"9,984","12,687","12,888",4.1,,1.6
,Utah,"5,256","5,810","5,878",1.7,,1.2
,Washington,"13,850","16,065","16,258",2.5,,1.2
,Wyoming,"1,524","1,871","1,838",3.5,,-1.8
/Not reported. ,,,,,,,
:Not calculated. ,,,,,,,
"~Not applicable. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,
a/Totals estimated. Illinois did not provide data in 2006 and 2007. Maine and Nevada did not provide data in 2007.,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,
c/Population based on custody counts.,,,,,,,
