Bureau of Justice Statistics,,,,,,,,
Filename: p07at02.csv,,,,,,,,
"Appendix table 2. Female prisoners under jurisdiction of state or federal correctional authorities, December 31, 2000, 2006, and 2007",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Appendix table 2. Female prisoners under jurisdiction of state or federal correctional authorities, December 31, 2000, 2006, and 2007",,,,,,,,
,,Number of female prisoners,,,Average annual change,,Percent change,
Region and jurisdiction,,2000,2006,2007,2000-2006,,2006-2007,
U.S. Total/a,,"93,234","112,459","114,420",3.2,%,1.7,%
,Federal,"10,245","12,975","13,338",4,,2.8,
,State/a,"82,989","99,484","101,082",3.1,,1.6,
Northeast,,"9,082","9,730","9,707",1.2,%,-0.2,%
,Connecticut/b,"1,406","1,594","1,496",2.1,,-6.1,
,Maine,66,145,152,14,,4.8,
,Massachusetts,663,846,790,4.1,,-6.6,
,New Hampshire,120,172,202,6.2,,17.4,
,New Jersey,"1,650","1,428","1,410",-2.4,,-1.3,
,New York,"3,280","2,859","2,754",-2.3,,-3.7,
,Pennsylvania,"1,579","2,249","2,463",6.1,,9.5,
,Rhode Island/b,238,280,282,2.7,,0.7,
,Vermont/b,80,157,158,11.9,,0.6,
Midwest,,"14,598","17,670","17,832",3.2,%,0.9,%
,Illinois,"2,849",/,/,:,,:,
,Indiana,"1,452","2,167","2,295",6.9,,5.9,
,Iowa/c,592,789,717,4.9,,-9.1,
,Kansas,504,638,625,4,,-2,
,Michigan,"2,131","2,170","2,080",0.3,,-4.1,
,Minnesota,368,562,602,7.3,,7.1,
,Missouri,"1,993","2,579","2,522",4.4,,-2.2,
,Nebraska,266,413,399,7.6,,-3.4,
,North Dakota,68,157,147,15,,-6.4,
,Ohio,"2,808","3,701","3,822",4.7,,3.3,
,South Dakota,200,350,369,9.8,,5.4,
,Wisconsin,"1,367","1,424","1,527",0.7,,7.2,
South,,"39,652","47,086","48,503",2.9,%,3,%
,Alabama,"1,826","2,050","2,158",1.9,,5.3,
,Arkansas,772,"1,042","1,066",5.1,,2.3,
,Delaware/b,597,571,577,-0.7,,1.1,
,District of Columbia,356,~,~,:,,:,
,Florida,"4,105","6,489","6,854",7.9,,5.6,
,Georgia/c,"2,758","3,557","3,545",4.3,,-0.3,
,Kentucky,"1,061","2,058","2,441",11.7,,18.6,
,Louisiana,"2,219","2,389","2,458",1.2,,2.9,
,Maryland,"1,219","1,081","1,184",-2,,9.5,
,Mississippi,"1,669","1,789","1,962",1.2,,9.7,
,North Carolina,"1,903","2,686","2,626",5.9,,-2.2,
,Oklahoma,"2,394","2,547","2,607",1,,2.4,
,South Carolina,"1,420","1,603","1,604",2,,0.1,
,Tennessee,"1,369","1,958","1,923",6.1,,-1.8,
,Texas,"13,622","13,799","13,931",0.2,,1,
,Virginia,"2,059","2,893","2,933",5.8,,1.4,
,West Virginia,303,574,634,11.2,,10.5,
West,,"19,657","24,998","25,040",4.1,%,0.2,%
,Alaska/b,284,518,564,10.5,,8.9,
,Arizona/c,"1,964","3,151","3,460",8.2,,9.8,
,California,"11,161","11,977","11,628",1.2,,-2.9,
,Colorado,"1,333","2,302","2,335",9.5,,1.4,
,Hawaii/b,561,734,746,4.6,,1.6,
,Idaho,493,777,800,7.9,,3,
,Montana,306,354,301,2.5,,-15,
,Nevada,846,"1,136","1,179",5,,3.8
,New Mexico,511,667,576,4.5,,-13.6
,Oregon,596,"1,020","1,060",9.4,,3.9
,Utah,381,623,631,8.5,,1.3
,Washington,"1,065","1,496","1,514",5.8,,1.2
,Wyoming,156,243,246,7.7,,1.2
/Not reported. ,,,,,,,
:Not calculated. ,,,,,,,
"~Not applicable. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,
a/Totals estimated. Illinois did not provide data in 2006 and 2007. Maine and Nevada did not provide data in 2007. ,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,
c/Population based on custody counts.,,,,,,,
