Bureau of Justice Statistics,,,,,,,,
Filename: p07at12.csv,,,,,,,,
"Appendix table 12. Number of sentenced prisoners in federal prison, by most serious offense,  2000, 2006, and 2007",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Appendix table 12. Number of sentenced prisoners in federal prison, by most serious offense,  2000, 2006, and 2007",,,,,,,,
,,2000,2006,2007,"Average annual change, 2000-2006",,"Percent change, 2006-2007",
Offense,,,,,,,,
,Total,"131,739","176,268","179,204",5,%,1.7,%
Violent offenses,,"13,740","16,507","15,647",3.1,%,-5.2,%
,Homicide/a,"1,363","2,923","2,915",13.6,,-0.3,
,Robbery,"9,712","9,645","8,966",-0.1,,-7,
,Other violent,"2,665","3,939","3,767",6.7,,-4.4,
Property offenses,,"10,135","10,015","10,345",-0.2,%,3.3,%
,Burglary,462,519,504,2,,-2.9,
,Fraud,"7,506","6,437","7,834",-2.5,,21.7,
,Other property,"2,167","3,059","2,006",5.9,,-34.4,
Drug offenses,,"74,276","93,751","95,446",4,%,1.8,%
Public-order offenses,,"32,325","54,336","56,273",9,%,3.6,%
,Immigration,"13,676","19,496","19,528",6.1,,0.2,
,Weapons,"10,822","24,298","25,435",14.4,,4.7,
,Other,"7,827","10,542","11,311",5.1,,7.3,
Other/unspecified/b,,"1,263","1,659","1,492",4.7,%,-10,%
"Note: All data are from the BJS Federal Justice Statistics Program. Data are for September 30 and based on all sentenced inmates, regardless of sentence length.",,,,,,,,
a/Includes murder and negligent and nonnegligent manslaughter.,,,,,,,,
b/Includes offenses not classified.,,,,,,,,
