Bureau of Justice Statistics,,,,,,
Filename: p07at14.csv,,,,,,
"Appendix table 14. Number of state and federal prisoners under jurisdiction housed in local jails, December 31, 2000, 2006, and 2007",,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
"Date of version: December 2, 2008",,,,,,

"Appendix table 14. Number of state and federal prisoners under jurisdiction housed in local jails, December 31, 2000, 2006, and 2007",,,,,,
,,Number of prisoners,,,Percent of prisoners,
Region and jurisdiction,,2000,2006,2007,2007,
U.S. Total,,"62,884","77,912","80,371",5,%
,Federal,"2,438","2,010","2,144",1.1,
,State,"60,446","75,902","78,227",5.6,
Northeast,,"3,823","2,022","1,677",0.9,
,Connecticut/a,~,~,~,~,
,Maine,24,0,0,0,
,Massachusetts,457,177,136,1.2,
,New Hampshire,14,13,52,1.8,
,New Jersey,"3,225","1,821","1,468",5.5,
,New York,45,11,21,0,
,Pennsylvania,58,~,~,~,
,Rhode Island/a,~,~,~,~,
,Vermont/a,~,~,~,~,
Midwest,,"2,103","2,536","3,381",1.3,%
,Illinois,0,/,/,:,
,Indiana,"1,187","1,180","2,002",7.4,
,Iowa,0,0,0,0,
,Kansas,0,0,0,0,
,Michigan,286,62,43,0.1,
,Minnesota,149,508,518,5.5,
,Missouri,0,0,0,0,
,Nebraska,0,0,0,0,
,North Dakota,38,48,48,3.4,
,Ohio,0,0,0,0,
,South Dakota,16,61,55,1.7,
,Wisconsin,427,677,715,3,
South,,"47,128","65,212","67,071",10.5,%
,Alabama,"1,074","1,160","1,596",5.4,
,Arkansas,728,842,"1,007",7,
,Delaware/a,~,~,~,~,
,District of Columbia/b,"1,329",~,~,~,
,Florida/c,0,34,"1,147",1.2,
,Georgia,"3,888","4,970","4,919",9.1,
,Kentucky,"3,850","5,921","7,912",35.2,
,Louisiana,"15,599","16,230","17,079",45.5,
,Maryland,118,162,151,0.6,
,Mississippi,"3,700","4,684","4,952",22.1,
,North Carolina,0,0,0,0,
,Oklahoma,970,"1,955","1,892",7.3,
,South Carolina,433,381,377,1.6,
,Tennessee,"5,204","6,451","7,019",26.7,
,Texas,"6,477","15,091","12,774",7.4,
,Virginia,"2,962","5,965","5,097",13.4,
,West Virginia,796,"1,366","1,149",19,
West,,"7,392","6,132","6,098",1.9,%
,Alaska/a,~,~,~,~,
,Arizona,237,43,46,0.1,
,California,"2,758","2,468","2,782",1.6,
,Colorado,"2,178",430,175,0.8,
,Hawaiia,~,~,~,~,
,Idaho,450,459,575,7.9,
,Montana,548,615,522,15.1,
,Nevada,147,148,155,1.2
,New Mexico,0,140,116,1.8
,Oregon,7,55,23,0.2
,Utah,"1,050","1,328","1,286",19.8
,Washington,0,424,362,2
,Wyoming,17,22,56,2.7
~ Not applicable. ,,,,,
 /Not reported. ,,,,,
:Not calculated.,,,,,
a/Prisons and jails form one integrated system.,,,,,
"b/As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,
c/Numbers not comparable to previous years. New methods were used for counting prisoners.,,,,,
