Bureau of Justice Statistics,,,,,,,,
Filename: p09at02.csv,,,,,,,,
"Appendix table 2: Male prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
 ,,,,,,,,
"Appendix table 2. Male prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
,,Number of male prisoners,,,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
U.S. total,,"1,298,027","1,495,110","1,500,278",1.8,%,0.3,%
,Federal,"135,171","188,007","194,493",4.2,,3.4,
,State,"1,162,856","1,307,103","1,305,785",1.5,,-0.1,
Northeast,,"165,744","169,041","168,074",0.2,%,-0.6,%
,Connecticut/a,"16,949","19,159","18,381",1.5,,-4.1,
,Maine,"1,613","2,039","2,048",3,,0.4,
,Massachusetts,"10,059","10,657","10,597",0.7,,-0.6,
,New Hampshire/b,"2,137","2,521","2,564",2.1,,1.7,
,New Jersey,"28,134","24,654","24,176",-1.6,,-1.9,
,New York,"66,919","57,760","56,198",-1.8,,-2.7,
,Pennsylvania,"35,268","46,451","48,601",3.5,,4.6,
,Rhode Island/a,"3,048","3,802","3,444",2.8,,-9.4,
,Vermont/a,"1,617","1,998","2,065",2.7,,3.4,
Midwest,,"222,780","246,531","244,149",1.3,%,-1,%
,Illinois,"42,432","42,753","42,571",0.1,,-0.4,
,Indiana,"18,673","25,829","26,302",4.1,,1.8,
,Iowa,"7,363","8,017","8,090",1.1,,0.9,
,Kansas,"7,840","7,970","8,076",0.2,,1.3,
,Michigan,"45,587","46,781","43,723",0.3,,-6.5,
,Minnesota,"5,870","9,240","9,312",5.8,,0.8,
,Missouri,"25,550","27,737","28,136",1,,1.4,
,Nebraska,"3,629","4,130","4,108",1.6,,-0.5,
,North Dakota,"1,008","1,292","1,312",3.2,,1.5,
,Ohio,"43,025","47,773","47,617",1.3,,-0.3,
,South Dakota,"2,416","2,987","3,054",2.7,,2.2,
,Wisconsin,"19,387","22,022","21,848",1.6,,-0.8,
South,,"521,562","598,262","600,657",1.7,%,0.4,%
,Alabama,"24,506","28,277","29,419",1.8,,4,
,Arkansas,"11,143","13,656","14,147",2.6,,3.6,
,Delaware/a,"6,324","6,518","6,301",0.4,,-3.3,
,District of Columbia,"7,100",~,~,:,,:,
,Florida,"67,214","95,237","96,632",4.5,,1.5,
,Georgia/c,"41,474","49,027","49,597",2.1,,1.2,
,Kentucky,"13,858","19,436","19,343",4.3,,-0.5,
,Louisiana,"32,988","35,865","37,164",1.1,,3.6,
,Maryland,"22,319","22,264","21,206",0,,-4.8,
,Mississippi,"18,572","20,773","19,747",1.4,,-4.9,
,North Carolina,"29,363","36,704","37,052",2.8,,0.9,
,Oklahoma,"20,787","23,340","23,772",1.5,,1.9,
,South Carolina,"20,358","22,693","22,771",1.4,,0.3,
,Tennessee,"20,797","25,099","24,956",2.4,,-0.6,
,Texas,"153,097","158,653","157,679",0.4,,-0.6,
,Virginia,"28,109","35,309","35,188",2.9,,-0.3,
,West Virginia,"3,553","5,411","5,683",5.4,,5,
West,,"252,770","293,269","292,905",1.9,%,-0.1,%
,Alaska/a,"3,889","4,511","4,696",1.9,,4.1,
,Arizona/c,"24,546","35,823","36,850",4.8,,2.9,
,California,"151,840","162,050","160,286",0.8,,-1.1,
,Colorado,"15,500","20,980","20,694",3.9,,-1.4,
,Hawaii/a,"4,492","5,227","5,190",1.9,,-0.7,
,Idaho,"5,042","6,532","6,656",3.3,,1.9,
,Montana,"2,799","3,184","3,214",1.6,,0.9,
,Nevada,"9,217","11,761","11,533",3.1,,-1.9,
,New Mexico,"4,831","5,833","5,859",2.4,,0.4,
,Oregon,"9,984","13,058","13,278",3.4,,1.7,
,Utah,"5,256","5,912","5,952",1.5,,0.7,
,Washington,"13,850","16,522","16,836",2.2,%,1.9,%
,Wyoming,"1,524","1,876","1,861",2.6,,-0.8,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,
:Not calculated.,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
"b/Jurisdiction count for yearend 2008 is as of January 2, 2009.",,,,,,,,
c/Prison population based on custody counts.  ,,,,,,,,
