Bureau of Justice Statistics,,,,,,,,,
Filename: p09at12.csv,,,,,,,,,
"Appendix table 12: Estimated number of sentenced prisoners under state or federal jurisdiction, by sex, race, and Hispanic origin, December 31, 2000-2009",,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,
 ,,,,,,,,,
"Appendix table 12. Estimated number of sentenced prisoners under state or federal jurisdiction, by sex, race, and Hispanic origin, December 31, 2000-2009",,,,,,,,,
,Male,,,,,Female,,,
Year,Total/a,White/b,Black/b,Hispanic,,Total/a,White/b,Black/b,Hispanic
2000,"1,237,500","436,500","572,900","206,900",,"83,700","34,500","37,400","10,000"
2001,"1,259,500","449,200","585,800","199,700",,"85,000","36,200","36,400","10,200"
2002,"1,291,300","436,800","586,700","235,000",,"89,000","35,400","36,000","15,000"
2003,"1,316,500","454,300","586,300","251,900",,"92,800","39,100","35,000","16,200"
2004,"1,337,700","449,300","551,300","260,600",,"96,100","42,500","32,100","15,000"
2005,"1,362,500","459,700","547,200","279,000",,"98,600","45,800","29,900","15,900"
2006,"1,399,100","478,000","534,200","290,500",,"103,100","49,100","28,600","17,500"
2007,"1,427,300","471,400","556,900","301,200",,"105,500","50,500","29,300","17,600"
2008,"1,434,800","477,500","562,800","295,800",,"105,300","50,700","29,100","17,300"
2009,"1,443,500","479,000","563,500","303,500",,"105,200","51,200","28,200","17,500"
Note: Totals based on prisoners with a sentence of more than 1 year. See Methodology for estimation method. All estimates include persons under age 18.,,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,,,,
