Bureau of Justice Statistics,,,,,,,,,
Filename: p09at19.csv,,,,,,,,,
"Appendix table 19: Number of state or federal prisoners in private facilities, December 31, 2000-2009",,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,
 ,,,,,,,,,
"Appendix table 19. Number of state or federal prisoners in private facilities, December 31, 2000-2009",,,,,,,,,
,Number of prisoners in private facilities,,,,,,,,
Year,Total,,Federal,,State,,,Percent of all prisoners,
2000,"87,369",,"15,524",,"71,845",,,6.3,%
2001,"91,828",,"19,251",,"72,577",,,6.5,
2002,"93,912",,"20,274",,"73,638",,,6.5,
2003,"95,707",,"21,865",,"73,842",,,6.5,
2004,"98,628",,"24,768",,"73,860",,,6.6,
2005,"107,940",,"27,046",,"80,894",,,7.1,
2006,"113,697",,"27,726",,"85,971",,,7.2,
2007,"123,942",,"31,310",,"92,632",,,7.8,
2008,"129,482",,"33,162",,"96,320",,,8,
2009,"129,336",,"34,087",,"95,249",,,8,
"Average annual change, 2000-2008",5,%,10,%,3.7,%,,:,
"Percent change, 2008-2009",-0.1,,2.8,,-1.1,,,:,
:Not calculated. ,,,,,,,,,
