Bureau of Justice Statistics,,,,
Filename: p09f01.csv,,,,
"Figure 1: Prisoners under state and federal jurisdiction at yearend, 2000-2009",,,,
Report title: Prisoners in 2009 NCJ 231675,,,,
"Data source: National Prisoner Statistics, 1b",,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
"Date of version: December 21, 2010",,,,
,,,,
"Figure 1. Prisoners under state and federal jurisdiction at yearend, 2000-2009",,,,
On December 31,Number of prisoners,Annual percent change,,
2000,"1,391,261",2,%,
2001,"1,404,032",0.9,,
2002,"1,440,144",2.6,,
2003,"1,468,601",2,,
2004,"1,497,100",1.9,,
2005,"1,527,929",2.1,,
2006,"1,569,945",2.8,,
2007,"1,598,245",1.8,,
2008,"1,609,759",0.7,,
2009,"1,613,740",0.2,,
