Bureau of Justice Statistics,,
Filename: p09f04.csv,,
"Figure 4: Number and imprisonment rate of sentenced prisoners under state jurisdiction, 1990-2009",,
Report title: Prisoners in 2009 NCJ 231675,,
"Data source: National Prisoner Statistics, 1b",,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,
"Date of version: December 21, 2010",,
,,
"Figure 4. Number and imprisonment rate of sentenced prisoners under state jurisdiction, 1990-2009",,
On December 31,Number of sentenced prisoners,Imprisonment rate
1990,"689,577",272
1991,"732,914",287
1992,"780,571",305
1993,"857,675",330
1994,"936,896",356
1995,"1,001,359",389
1996,"1,048,907",394
1997,"1,099,347",410
1998,"1,144,688",423
1999,"1,189,806",434
2000,"1,206,234",432
2001,"1,208,708",422
2002,"1,237,476",427
2003,"1,256,442",430
2004,"1,274,591",432
2005,"1,296,693",435
2006,"1,331,127",445
2007,"1,353,646",447
2008,"1,365,409",445
2009,"1,360,835",442
