Bureau of Justice Statistics,,,
Filename: p09f06.csv,,,
"Figure 6: Sentenced prisoners admitted into state prison, by type of admission, 2000-2009",,,
Report title: Prisoners in 2009 NCJ 231675,,,
"Data source: National Prisoner Statistics, 1b",,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
"Date of version: December 21, 2010",,,
,,,
"Figure 6. Sentenced prisoners admitted into state prison, by type of admission, 2000-2009",,,
On December 31,Total,New court commitments,Parole violators
2000,"581,487","350,431","203,569"
2001,"593,838","365,714","215,450"
2002,"613,568","392,661","207,855"
2003,"634,149","399,843","198,705"
2004,"646,830","411,300","219,033"
2005,"676,952","421,426","232,229"
2006,"692,303","441,606","239,495"
2007,"689,257","431,019","247,851"
2008,"690,954","428,591","248,515"
2009,"674,836","422,910","237,449"
