Bureau of Justice Statistics,,,
Filename: p09t05.csv,,,
"Table 5: Release rates (per 1,000 prisoners) of sentenced prisoners from state prison, by type of release, 2000-2009",,,
Report title: Prisoners in 2009 NCJ 231675,,,
"Data source: National Prisoner Statistics, 1b",,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
"Date of version: December 21, 2010",,,
 ,,,
"Table 5. Release rates (per 1,000 prisoners) of sentenced prisoners from state prison, by type of release, 2000-2009",,,
Year,Total,Conditional releases,Unconditional releases
2000,321,241,67
2001,328,243,73
2002,323,242,70
2003,327,236,68
2004,329,253,65
2005,335,254,69
2006,335,250,74
2007,331,248,75
2008,335,248,81
2009,333,247,79
Note: The release rate is the ratio of the number of sentenced prisoners released from prison during the year divided by the number that could be released.  The number that could be released equals the number in prison at the start of the year plus the number admitted during the year.,,,
