Bureau of Justice Statistics,,,,,,,,
Filename: p10at05.csv,,,,,,,,
"Appendix Table 5. Sentenced male prisoners under the jurisdiction of state and federal correctional authorities, December 31, 2000–2010",,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 01/10/2012,,,,,,,,
,,,,,,,,
"Appendix Table 5. Sentenced male prisoners under the jurisdiction of state and federal correctional authorities, December 31, 2000–2010",,,,,,,,
Year,Number of sentenced male prisoners,,,,,,,
,Total,,Federal,,State,,Percent of all sentenced prisoners,
2000,"1,246,234",,"116,647",,"1,129,587",,93.6,%
2001,"1,260,033",,"127,519",,"1,132,514",,93.7,
2002,"1,291,450",,"133,732",,"1,157,718",,93.5,
2003,"1,315,790",,"142,149",,"1,173,641",,93.4,
2004,"1,337,730",,"148,930",,"1,188,800",,93.3,
2005,"1,364,178",,"155,678",,"1,208,500",,93.3,
2006,"1,401,317",,"162,417",,"1,238,900",,93.1,
2007,"1,427,064",,"167,676",,"1,259,388",,93.1,
2008,"1,441,384",,"170,755",,"1,270,629",,93.1,
2009,"1,448,447",,"176,106",,"1,272,341",,93.2,
2010,"1,445,131",,"178,792",,"1,266,339",,93.2,
"Average annual change, 2000–2009",1.7,%,5,%,1.3,%,:,
"Percent change, 2009–2010",-0.2,,2,,-0.5,,:,
Note: Counts based on prisoners with a sentence of more than 1 year.,,,,,,,,
: Not calculated.,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,
