Bureau of Justice Statistics,,,,,,,,
Filename: p10at08.csv,,,,,,,,
"Appendix Table 8. Sentenced female prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, ",,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 01/10/2012,,,,,,,,
,,,,,,,,
"Appendix Table 8. Sentenced female prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, ",,,,,,,,
"December 31, 2000, 2009 and 2010",,,,,,,,
,,Number of sentenced female prisoners,,,"Average annual change, 2000–2009",,"Percent change, 2009–2010",
Region and jurisdiction,,2000,2009,2010,,,,
U.S. total,,"85,044","105,256","105,110",2.4,%,-0.1,%
,Federal,"8,397","11,780","11,849",3.8,,0.6,
,State,"76,647","93,476","93,261",2.2,,-0.2,
Northeast,,"7,817","8,105","7,675",0.4,%,-5.3,%
,Connecticut/a,790,712,670,-1.1,,-5.9,
,Maine,62,135,141,9,,4.4,
,Massachusetts/b,229,425,456,7.1,,7.3,
,New Hampshire,120,167,201,3.7,,20.4,
,New Jersey/c,"1,650","1,206","1,136",-3.4,,-5.8,
,New York,"3,280","2,464","2,192",-3.1,,-11,
,Pennsylvania,"1,578","2,807","2,674",6.6,,-4.7,
,Rhode Island/a,64,91,107,4,,17.6,
,Vermont/a,44,98,98,9.3,,0,
Midwest,,"14,556","17,399","17,909",2,%,2.9,%
,Illinois/c,"2,849","2,590","2,922",-1.1,,12.8,
,Indiana,"1,447","2,506","2,505",6.3,,0,
,Iowa/c,592,723,761,2.2,,5.3,
,Kansas/d,504,565,623,1.3,,10.3,
,Michigan,"2,131","1,755","1,869",-2.1,,6.5,
,Minnesota,368,674,638,7,,-5.3,
,Missouri,"1,988","2,425","2,458",2.2,,1.4,
,Nebraska,256,360,397,3.9,,10.3,
,North Dakota,54,174,179,13.9,,2.9,
,Ohio/d,"2,808","3,989","3,992",4,,0.1,
,South Dakota,200,380,411,7.4,,8.2,
,Wisconsin/b,"1,359","1,258","1,154",-0.9,,-8.3,
South,,"35,972","45,094","45,808",2.5,%,1.6,%
,Alabama,"1,790","2,319","2,381",2.9,,2.7,
,Arkansas,767,"1,058","1,159",3.6,,9.5,
,Delaware/a,245,190,192,-2.8,,1.1,
,District of Columbia,84,~,~,:,,:,
,Florida,"4,105","7,283","7,350",6.6,,0.9,
,Georgia,"2,751","3,627","4,093",3.1,,12.8,
,Kentucky,"1,061","2,126","2,036",8,,-4.2,
,Louisiana,"2,219","2,616","2,408",1.8,,-8,
,Maryland,"1,061","1,001",910,-0.6,,-9.1,
,Mississippi,"1,530","1,614","1,431",0.6,,-11.3,
,North Carolina,"1,389","2,118","2,134",4.8,,0.8,
,Oklahoma,"2,394","2,526","2,453",0.6,,-2.9,
,South Carolina,"1,301","1,410","1,355",0.9,,-3.9,
,Tennessee,"1,369","2,009","2,106",4.4,,4.8,
,Texas/b,"11,634","11,620","12,249",0,,5.4,
,Virginia,"1,985","2,903","2,840",4.3,,-2.2,
,West Virginia,287,674,711,10,,5.5,
West,,"18,302","22,878","21,869",2.5,%,-4.4,%
,Alaska/a,97,192,166,7.9,,-13.5,
,Arizona/e,"1,789","3,441","3,373",7.5,,-2,
,California,"10,597","10,735","9,763",0.1,,-9.1,
,Colorado/d,"1,333","2,101","2,052",5.2,,-2.3,
,Hawaii/a,378,441,411,1.7,,-6.8,
,Idaho,493,744,810,4.7,,8.9,
,Montana,306,391,425,2.8,,8.7,
,Nevada,846,949,964,1.3,,1.6,
,New Mexico,344,581,593,6,,2.1,
,Oregon/d,594,"1,121","1,063",7.3,,-5.2,
,Utah,361,581,606,5.4,,4.3,
,Washington,"1,008","1,387","1,412",3.6,,1.8,
,Wyoming,156,214,231,3.6,,7.9,
Note: Counts based on prisoners with a sentence of more than 1 year.,,,,,,,,
"~Not applicable.  As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. ",,,,,,,,
a/Prisons and jails form one integrated system.  Data include total jail and prison populations. ,,,,,,,,
b/See NPS jurisdiction notes.,,,,,,,,
c/Includes some prisoners sentenced to 1 year. ,,,,,,,,
d/Includes some prisoners sentenced to 1 year or less. ,,,,,,,,
e/Prison population based on custody counts.,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,
