Bureau of Justice Statistics,,,,,,,
Filename: p10at25.csv,,,,,,,
"Appendix Table 25. Reported number of noncitizens held in custody in state and federal prisons, by sex, region, and jurisdiction, June 30, 2009 and 2010 ",,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 12/13/2011,,,,,,,
,,,,,,,
"Appendix Table 25. Reported number of noncitizens held in custody in state and federal prisons, by sex, region, and jurisdiction, June 30, 2009 and 2010 ",,,,,,,
Region and jurisdiction,,2009,,,2010,,
,,Total,Male,Female,Total,Male,Female
U.S. Total,,"97,133","90,435","3,923","95,977","92,113","3,864"
,Federal,"30,445","28,404","2,041","30,336","28,336","2,000"
,State,"66,688","62,031","1,882","65,641","63,777","1,864"
Northeast,,"8,955","8,668",287,"8,894","8,601",293
,Connecticut/a,796,762,34,768,741,27
,Maine,21,20,1,21,20,1
,Massachusetts/b,918,883,35,883,845,38
,New Hampshire,82,79,3,67,65,2
,New Jersey/b,/,/,/,/,/,/
,New York/c,"6,111","5,922",189,"5,988","5,794",194
,Pennsylvania,"1,008",985,23,"1,148","1,120",28
,Rhode Island/a,/,/,/,/,/,/
,Vermont/a,19,17,2,19,16,3
Midwest,,"5,352","5,197",155,"5,641","5,498",143
,Illinois/d,"1,946","1,900",46,"2,104","2,057",47
,Indiana,504,496,8,547,536,11
,Iowa,151,148,3,179,175,4
,Kansas/d,287,283,4,310,303,7
,Michigan,680,670,10,614,604,10
,Minnesota,469,452,17,515,505,10
,Missouri/c,452,428,24,445,423,22
,Nebraska,204,200,4,263,258,5
,North Dakota,14,13,1,7,7,0
,Ohio,584,548,36,596,569,27
,South Dakota,61,59,2,61,61,0
,Wisconsin,/,/,/,/,/,/
South,,"23,171","22,513",658,"23,047","22,385",662
,Alabama,150,147,3,177,175,2
,Arkansas,187,183,4,157,153,4
,Delaware/a,316,296,20,291,280,11
,Florida/e,"6,344","6,131",213,"6,362","6,127",235
,Georgia,"1,811","1,780",31,"1,722","1,687",35
,Kentucky,168,164,4,159,152,7
,Louisiana,105,102,3,110,105,5
,Maryland/f,430,408,22,653,633,20
,Mississippi/c,/,/,/,/,/,/
,North Carolina,"1,785","1,742",43,"1,775","1,730",45
,Oklahom/g,340,331,9,359,350,9
,South Carolina/b,462,449,13,504,488,16
,Tennessee/c,240,231,9,238,238,0
,Texas,"9,618","9,371",247,"9,142","8,917",225
,"Virginia/c,f","1,209","1,172",37,"1,390","1,342",48
,West Virginia,6,6,0,8,8,0
West,,"29,210","25,653",782,"28,059","27,293",766
,"Alaska/a,b",11,11,0,21,21,0
,Arizona,"3,259","3,116",143,"4,762","4,610",152
,California/g,"18,538","18,073",465,"18,650","18,225",425
,Colorado/c,"1,250","1,207",43,"1,256","1,198",58
,"Hawaii/a,b",122,115,7,99,90,9
,Idaho,288,275,13,163,150,13
,Montana,6,6,0,10,10,0
,Nevada,/,/,/,/,/,/
,New Mexico,105,102,3,118,116,2
,Oregon,"1,704","1,625",79,"1,752","1,678",74
,Utah,284,281,3,271,267,4
,Washington,798,774,24,904,877,27
,Wyoming,70,68,2,53,51,2
/Not reported.,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,
b/Number of U.S. citizens based only on inmates who reported their citizenship. ,,,,,,,
c/Noncitizens defined as foreign born.,,,,,,,
d/Estimated. ,,,,,,,
e/Includes both confirmed and suspected alien inmates. ,,,,,,,
f/May not be comparable to prior-year data due to a change in reporting system. ,,,,,,,
g/Noncitizens defined as inmates held by Immigrations and Customs Enforcement (ICE). ,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,
