Bureau of Justice Statistics,,
Filename: p10f02.csv,,
"Figure 2. Change in the number of prisoners under state and federal jurisdiction, 2000–2010",,
Report title: Prisoners in 2010 NCJ 236096,,
Data source(s): National Prisoner Statistics Program,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 01/10/2012,,
,,
"Figure 2. Change in the number of prisoners under state and federal jurisdiction, 2000–2010",,
,Percent change,
Year,Federal,State
2000,7.5,1.4
2001,8,0.1
2002,4.2,2.4
2003,5.8,1.5
2004,4.2,1.6
2005,4,1.8
2006,2.9,2.7
2007,3.4,1.6
2008,0.8,0.7
2009,3.4,0.1
2010,0.8,-0.5
Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. Percent change is calculated based on December 31 jurisdiction counts.,,
"Source: BJS, National Prisoner Statistics Program.",,
