Bureau of Justice Statistics,,,,
Filename: p10t05.csv,,,,
"Table 5. Estimated mean expected time to be served, in years, 2000–2010",,,,
Report title: Prisoners in 2010 NCJ 236096,,,,
Data source(s): National Prisoner Statistics Program,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 01/10/2012,,,,
,,,,
"Table 5. Estimated mean expected time to be served, in years, 2000–2010",,,,
Year,Reciprocal of release rate,,Growth-adjusted release rate*,
2000,2.1, yr.,2.1, yr.
2001,2,,2.1,
2002,2.1,,2.1,
2003,2,,2.1,
2004,2,,2.1,
2005,2,,2,
2006,2,,2,
2007,2,,2.1,
2008,2,,2.1,
2009,2,,2.1,
2010,2.1,,2.1,
Note: Mean expected time to be served is the estimated mean (average) time to be served from entry to release by prisoners admitted during the reference year. See Methodology. ,,,,
*See “Calculating release rates and mean time served” in Methodology.,,,,
"Source: BJS, National Prisoner Statistics Program",,,,
