Bureau of Justice Statistics,,,,,,,,,,
Filename: p11at05.csv,,,,,,,,,,
"Appendix table 5. Sentenced female prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2010, and 2011",,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 5. Sentenced female prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2010, and 2011",,,,,,,,,,
,,Number of female inmates,,,,,Percent change,,,
Jurisdiction,,2000,2010,2011,Percent of 2011 sentenced prison population,,"Average annual, 2000–2010/a",,2010–2011,
,U.S. total,"85,044","104,903","103,674",6.7,%,1.9,%,-1.2,%
Federal/b,,"8,397","11,849","12,149",6.2,%,3.1,%,2.5,%
State,,"76,647","93,054","91,525",6.8,,1.8,,-1.6,
,Alabama,"1,790","2,381","2,448",7.8,%,2.6,%,2.8,%
,Alaska/c,97,266,311,10.7,,9.2,,16.9,
,Arizona/d,"1,789","3,373","3,272",8.5,,5.8,,-3,
,Arkansas,767,"1,159","1,099",6.9,,3.8,,-5.2,
,California,"10,597","9,763","8,053",5.4,,-0.7,,-17.5,
,Colorado/e,"1,333","2,052","2,021",9.2,,3.9,,-1.5,
,Connecticut/c,790,670,684,5.5,,-1.5,,2.1,
,"Delaware/c,d",245,192,188,4.7,,-2.2,,-2.1,
,Florida,"4,105","7,350","7,142",6.9,,5.3,,-2.8,
,Georgia,"2,751","3,612","3,744",6.9,,2.5,,3.7,
,"Hawaii/c,f",378,411,383,9.8,,0.8,,-6.8,
,Idaho,493,810,885,11.4,,4.5,,9.3,
,Illinois/g,"2,849","2,922","2,865",5.9,,0.2,,-2,
,Indiana,"1,447","2,505","2,499",8.7,,5,,-0.2,
,Iowa,592,761,721,8,,2.3,,-5.3,
,Kansas,504,623,680,7.3,,1.9,,9.1,
,Kentucky,"1,061","2,036","2,377",11.3,,5.9,,16.7,
,Louisiana,"2,219","2,408","2,384",6,,0.7,,-1,
,Maine,62,141,142,7.3,,7.5,,0.7,
,Maryland,"1,061",910,951,4.3,,-1.4,,4.5,
,Massachusetts/h,229,502,494,4.8,,7.1,,-1.6,
,Michigan,"2,131","1,869","1,909",4.4,,-1.2,,2.1,
,Minnesota,368,638,644,6.6,,5,,0.9,
,Mississippi,"1,530","1,431","1,470",7.1,,-0.6,,2.7,
,Missouri,"1,988","2,458","2,575",8.4,,1.9,,4.8,
,Montana,306,425,404,11,,3,,-4.9,
,Nebraska,256,397,352,7.8,,4,,-11.3,
,Nevada,846,964,967,7.7,,1.2,,0.3,
,New Hampshire,120,201,170,6.5,,4.7,,-15.4,
,New Jersey/g,"1,650","1,136","1,072",4.5,,-3.4,,-5.6,
,New Mexico,344,593,625,9.1,,5,,5.4,
,New York,"3,280","2,192","2,289",4.1,,-3.7,,4.4,
,North Carolina,"1,389","2,134","2,072",5.9,,3.9,,-2.9,
,North Dakota,54,179,147,10.3,,10.9,,-17.9,
,Ohioe,"2,808","3,992","3,903",7.7,,3.2,,-2.2,
,Oklahoma,"2,394","2,453","2,331",9.7,,0.2,,-5,
,Oregon,594,"1,128","1,116",7.7,,5.8,,-1.1,
,Pennsylvania,"1,578","2,674","2,733",5.3,,4.8,,2.2,
,"Rhode Island/c,f",64,107,81,3.9,,4.7,,-24.3,
,South Carolina,"1,301","1,355","1,293",5.8,,0.4,,-4.6,
,South Dakota,200,411,438,12.4,,6.5,,6.6,
,Tennessee,"1,369","2,106","2,409",8.5,,3.9,,14.4,
,Texas,"11,634","12,249","12,209",7.5,,0.5,,-0.3,
,Utah,361,606,613,8.9,,4.7,,1.2,
,Vermont/c,44,98,102,6.4,,7.3,,4.1,
,Virginia/g,"1,985","2,840","2,809",7.4,,3.3,,-1.1,
,Washington/e,"1,008","1,412","1,388",7.8,,3.1,,-1.7,
,West Virginia,287,711,747,11,,8.2,,5.1,
,Wisconsin,"1,359","1,217","1,075",5.2,,-1,,-11.7,
,Wyoming,156,231,239,10.9,,3.6,,3.5,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. Counts based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials. As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,
a/The average annual growth rate from 2000 to 2010.,,,,,,,,,,
b/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison population.,,,,,,,,,,
d/Prison jurisdiction population based on custody counts.,,,,,,,,,,
e/Includes some prisoners sentenced to 1 year or less.,,,,,,,,,,
f/Counts include dual jurisdiction cases where the inmate is currently housed in another jurisdiction’s facilities.,,,,,,,,,,
g/Includes some prisoners sentenced to 1 year.,,,,,,,,,,
h/The 2010-2011 counts include prisoners sentenced to more than 1 year but held in local jails or houses of correction in the Commonwealth of Massachusetts. See NPS Jurisdiction Notes.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,
