Bureau of Justice Statistics,,,,,,,,,,,
Filename: p11at06.csv,,,,,,,,,,,
"Appendix table 6. Estimated number of sentenced prisoners under state and federal jurisdiction, by sex, race, Hispanic origin, and age, December 31, 2011",,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,
 ,,,,,,,,,,,
"Appendix table 6. Estimated number of sentenced prisoners under state and federal jurisdiction, by sex, race, Hispanic origin, and age, December 31, 2011",,,,,,,,,,,
,,,,,,,,,,,
,,,Male,,,,,Female,,,
Age group,,"Total/a,b","All male/a,b",White/c,Black/c,Hispanic,,"All females/a,b",White/c,Black/c,Hispanic
,Total/d,"1,537,415","1,433,741","465,100","555,300","331,500",,"103,674","51,100","26,000","18,400"
18–19,,"22,500","21,600","4,200","10,600","5,600",,900,300,300,200
20–24,,"190,000","178,400","45,900","76,500","45,800",,"11,600","5,300","3,000","2,400"
25–29,,"252,100","234,100","66,800","91,900","62,400",,"18,000","8,800","4,300","3,600"
30–34,,"254,800","236,700","67,200","94,900","61,900",,"18,100","8,900","4,400","3,500"
35–39,,"212,200","197,000","59,500","76,400","50,200",,"15,300","7,600","3,700","2,700"
40–44,,"193,200","178,600","62,400","67,200","38,700",,"14,600","7,200","3,800","2,400"
45–49,,"170,200","158,100","60,000","59,000","29,500",,"12,200","6,200","3,300","1,700"
50–54,,"118,000","110,600","44,200","41,200","18,400",,"7,300","3,700","2,000","1,000"
55–59,,"63,200","59,900","25,300","21,300","9,800",,"3,300","1,700",800,500
60–64,,"32,500","31,100","15,000","9,200","4,900",,"1,400",800,300,200
65 or older,,"26,100","25,200","14,100","5,800","3,700",,900,500,200,100
a/Detail may not sum to total due to rounding.,,,,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,,,
c/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,
d/Includes persons age 17 or younger.,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2011; Federal Justice Statistics Program, 2011; National Corrections Reporting Program, 2010; and Survey of Inmates in State and Local Correctional Facilities, 2004. ",,,,,,,,,,,
