Bureau of Justice Statistics,,,,,,,,
Filename: p11at16.csv,,,,,,,,
"Appendix table 16. Reported number of inmates under age 18 and reported number of non-U.S. citizens held in custody in federal or state prisons, by sex and jurisdiction, December 31, 2011",,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/05/2012,,,,,,,,
,,,,,,,,
"Appendix table 16. Reported number of inmates under age 18 and reported number of non-U.S. citizens held in custody in federal or state prisons, by sex and jurisdiction, December 31, 2011",,,,,,,,
,,Inmates under age 18,,,,Noncitizen inmates,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female
,U.S. total,"1,790","1,722",68,,"102,809","98,471","4,338"
Federal*,,0,0,0,,"30,544","28,482","2,062"
State,,"1,790","1,722",68,,"72,265","69,989","2,276"
,Alabama,21,21,0,,184,182,2
,"Alaska/a,b",0,0,0,,35,32,3
,Arizona,94,83,11,,"5,336","5,195",141
,Arkansas,6,6,0,,"1,225","1,125",100
,California/c,0,0,0,,"16,089","15,719",370
,Colorado/d,19,17,2,,"1,783","1,723",60
,Connecticut/a,143,138,5,,699,675,24
,Delaware/a,11,11,0,,311,296,15
,Florida/e,209,200,9,,"10,143","9,783",360
,Georgia,90,87,3,,"2,957","2,816",141
,Hawaii/a,0,0,0,,262,243,19
,Idaho,0,0,0,,0,0,0
,Illinois,72,71,1,,"2,164","2,103",61
,Indiana,35,33,2,,577,567,10
,Iowa,13,12,1,,304,298,6
,Kansas,5,4,1,,343,338,5
,Kentucky,0,0,0,,661,584,77
,Louisiana,178,172,6,,123,121,2
,Maine,0,0,0,,0,0,0
,Maryland/d,39,36,3,,794,769,25
,Massachusetts/b,3,2,1,,"1,095","1,042",53
,Michigan,106,106,0,,573,561,12
,Minnesota,5,5,0,,562,551,11
,Mississippi,23,23,0,,20,19,1
,Missouri/d,19,19,0,,651,605,46
,Montana,0,0,0,,9,9,0
,Nebraska,19,19,0,,262,256,6
,Nevada,61,60,1,,0,0,0
,New Hampshire,0,0,0,,72,68,4
,New Jersey,7,6,1,,"1,520","1,483",37
,New Mexico,2,1,1,,202,197,5
,New Yorkd,182,179,3,,"4,629","4,476",153
,North Carolina,115,110,5,,"1,715","1,669",46
,North Dakota,0,0,0,,7,7,0
,Ohio,59,59,0,,576,548,28
,Oklahoma/d,17,15,2,,0,0,0
,Oregon,1,1,0,,"1,665","1,615",50
,Pennsylvania,43,41,2,,"1,121","1,091",30
,Rhode Island/a,0,0,0,,47,47,0
,South Carolina,44,44,0,,506,486,20
,South Dakota,0,0,0,,54,53,1
,Tennessee/d,11,11,0,,271,257,14
,Texas,104,97,7,,"9,297","9,068",229
,Utah,1,1,0,,429,424,5
,Vermont/a,1,1,0,,21,18,3
,Virginia,2,2,0,,519,499,20
,Washington,1,1,0,,"2,392","2,314",78
,West Virginia,0,0,0,,17,16,1
,Wisconsin,28,27,1,,0,0,0
,Wyoming,1,1,0,,43,41,2
Note: The definition of non-U.S. citizen varies across jurisdictions. Please use caution when interpreting these statistics.,,,,,,,,
*The Federal Bureau of Prisons does not house inmates age 17 or younger in federal facilities; 149 such inmates were housed in contract facilities.,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
b/Number of U.S. citizens based only on inmates who reported their citizenship. ,,,,,,,,
c/Non-U.S. citizens are defined as inmates held by Immigrations and Customs Enforcement (ICE). ,,,,,,,,
d/Non-U.S. citizens are defined as foreign-born.,,,,,,,,
e/Includes both confirmed and suspected alien inmates. ,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2011.",,,,,,,,
