Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p11t03.csv,,,,,,,,,,,,,,,,,,,,,
"Table 3. Admissions, releases, and yearend sentenced population in California state prisons, December 31, 2000–2011",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Table 3. Admissions, releases, and yearend sentenced population in California state prisons, December 31, 2000–2011",,,,,,,,,,,,,,,,,,,,,
,,Admissions,,,,,,,Releases,,,,,,,Yearend sentenced population,,,,,
Year,,Total/a,,New court commitments,,Parole violators/b,,,Total/c,,Conditional/d,,Unconditional/e,,,Total,,Male,,Female,
2000,,"129,640",,"40,277",,"89,363",,,"129,621",,"122,393",,"3,145",,,"160,412",,"149,815",,"10,597",
2001,,"126,895",,"37,923",,"88,972",,,"129,982",,"122,887",,"3,522",,,"157,295",,"147,758",,"9,537",
2002,,"124,179",,"38,605",,"85,574",,,"119,683",,"114,211",,"3,444",,,"159,984",,"150,374",,"9,610",
2003,,"125,312",,"43,413",,"81,899",,,"118,646",,"112,445",,"3,110",,,"162,678",,"152,385",,"10,293",
2004,,"123,537",,"46,812",,"76,725",,,"117,762",,"114,860",,"2,705",,,"164,933",,"154,051",,"10,882",
2005,,"129,559",,"48,597",,"80,962",,,"121,730",,"119,485",,"2,030",,,"168,982",,"157,704",,"11,278",
2006,,"138,523",,"48,640",,"89,883",,,"130,060",,"127,817",,"1,994",,,"173,942",,"162,361",,"11,581",
2007,,"139,608",,"46,980",,"92,628",,,"135,920",,"133,776",,"1,925",,,"172,856",,"161,551",,"11,305",
2008,,"140,827",,"46,380",,"94,447",,,"136,925",,"134,974",,"1,759",,,"172,583",,"161,220",,"11,363",
2009,,"129,705",,"44,926",,"84,779",,,"128,869",,"126,841",,"1,796",,,"170,131",,"159,396",,"10,735",
2010,,"118,943",,"41,521",,"77,422",,,"121,918",,"119,941",,"1,728",,,"164,213",,"154,450",,"9,763",
2011,,"96,669",,"36,376",,"60,293",,,"109,467",,"95,541",,"13,676",,,"149,025",,"140,972",,"8,053",
Percent change,,,,,,,,,,,,,,,,,,,,,
,"Average annual, 2000–2010",-0.8,%,0.3,%,-1.3,%,,-0.6,%,-0.2,%,-5.4,%,,0.2,%,0.3,%,-0.7,%
,2010–2011,-18.7,,-12.4,,-22.1,,,-10.2,,-20.3,,691.4,,,-9.2,,-8.7,,-17.5,
Note: Counts are based on prisoners with a sentence of more than 1 year. ,,,,,,,,,,,,,,,,,,,,,
"a/Excludes transfers, escapes, and those absent without leave (AWOL). Includes other conditional release violators, returns from appeal or bond, and other admissions.",,,,,,,,,,,,,,,,,,,,,
b/Includes all conditional release violators returned to prison for violations of conditions of release or for new crimes.,,,,,,,,,,,,,,,,,,,,,
"c/Excludes transfers, escapes, and those absent without leave (AWOL). Includes other conditional release violators, returns from appeal or bond, and other admissions.",,,,,,,,,,,,,,,,,,,,,
"d/Includes releases to probation, supervised mandatory releases, and other unspecified conditional releases.",,,,,,,,,,,,,,,,,,,,,
"e/Includes expirations of sentence, communtations, and other unconditional releases.",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,,,,,,,,,,,,
