Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p11t04.csv,,,,,,,,,,,,,,,,,
"Table 4. Admissions of sentenced offenders to California state prisons, by quarter and offense type, 2010–2011",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
"Table 4. Admissions of sentenced offenders to California state prisons, by quarter and offense type, 2010–2011",,,,,,,,,,,,,,,,,
,,,Violent,,,,Property,,,,Drugs,,,,Public-order,,
Date of admission,,"Totala,b,c",Number,Percent,,,Number,Percent,,,Number,Percent,,,Number,Percent,
Total admissions in 2010,,"117,674","35,639",30.3,%,,"38,260",32.5,%,,"29,105",24.7,%,,"13,728",11.7,%
,Quarter 1,"29,041","8,558",29.5,,,"9,483",32.7,,,"7,452",25.7,,,"3,333",11.5,
,Quarter 2,"30,521","9,144",30,,,"9,954",32.6,,,"7,654",25.1,,,"3,499",11.5,
,Quarter 3,"30,004","9,156",30.5,,,"9,736",32.4,,,"7,350",24.5,,,"3,533",11.8,
,Quarter 4,"28,108","8,781",31.2,,,"9,087",32.3,,,"6,649",23.7,,,"3,363",12,
Total admissions in 2011,,"95,814","30,538",31.9,%,,"30,295",31.6,%,,"22,058",23,%,,"12,026",12.6,%
,Quarter 1,"29,016","9,103",31.4,,,"9,381",32.3,,,"6,732",23.2,,,"3,554",12.2,
,Quarter 2,"29,431","9,159",31.1,,,"9,324",31.7,,,"7,018",23.8,,,"3,690",12.5,
,Quarter 3,"27,065","8,105",29.9,,,"8,935",33,,,"6,426",23.7,,,"3,341",12.3,
,Quarter 4,"10,302","4,171",40.5,,,"2,655",25.8,,,"1,882",18.3,,,"1,441",14,
a/Counts are based on prisoners with a sentence of more than 1 year.  ,,,,,,,,,,,,,,,,,
b/Analysis based on National Corrections Reporting Program administrative data.  These data may vary slightly from NPS data because of collection differences. ,,,,,,,,,,,,,,,,,
c/Includes other and unspecified offenses.,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2010–2011.",,,,,,,,,,,,,,,,,
