Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p11t12.csv,,,,,,,,,,,,,,,,,,,,,
"Table 12. Sentenced prisoners admitted to state or federal jurisdiction, by type of admission, 2000–2011",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Table 12. Sentenced prisoners admitted to state or federal jurisdiction, by type of admission, 2000–2011",,,,,,,,,,,,,,,,,,,,,
,,All admissions/a,,,,,,,New court commitments/b,,,,,,,"Parole violators/b,c",,,,,
Year,,Total,,Federal,,State,,,Total,,Federal,,State,,,Total,,Federal,,State,
2000,,"654,534",,"43,732",,"610,802",,,"389,734",,"39,303",,"350,431",,,"207,755",,"4,186",,"203,569",
2001,,"638,978",,"45,140",,"593,838",,,"405,422",,"40,193",,"365,229",,,"220,064",,"4,720",,"215,344",
2002,,"660,576",,"48,144",,"612,432",,,"433,959",,"42,303",,"391,656",,,"213,455",,"5,600",,"207,855",
2003,,"686,471",,"52,288",,"634,183",,,"445,556",,"45,713",,"399,843",,,"205,062",,"6,357",,"198,705",
2004,,"697,066",,"52,982",,"644,084",,,"457,096",,"45,796",,"411,300",,,"226,211",,"7,178",,"219,033",
2005,,"730,141",,"56,057",,"674,084",,,"470,149",,"48,723",,"421,426",,,"239,560",,"7,331",,"232,229",
2006,,"747,031",,"57,495",,"689,536",,,"492,315",,"50,204",,"442,111",,,"246,571",,"7,286",,"239,285",
2007,,"742,875",,"53,618",,"689,257",,,"479,710",,"48,691",,"431,019",,,"252,775",,"4,924",,"247,851",
2008,,"738,649",,"53,662",,"684,987",,,"477,100",,"49,270",,"427,830",,,"253,053",,"4,390",,"248,663",
2009,,"728,686",,"56,153",,"672,533",,,"474,997",,"51,524",,"423,473",,,"242,347",,"4,628",,"237,719",
2010,,"703,798",,"54,121",,"649,677",,,"458,360",,"49,515",,"408,845",,,"231,917",,"4,606",,"227,311",
2011,,"668,800",,"60,634",,"608,166",,,"455,068",,"55,817",,"399,251",,,"205,787",,"4,816",,"200,971",
Percent change,,,,,,,,,,,,,,,,,,,,,
,"Average annual, 2000–2010",0.7,%,1.9,%,0.6,%,,1.5,%,2.1,%,1.4,%,,1,%,0.9,%,1,%
,2010–2011,-5,,12,,-6.4,,,-0.7,,12.7,,-2.3,,,-11.3,,4.6,,-11.6,
"a/Counts based on prisoners with a sentence of more than 1 year. Excludes transfers, escapes, and those absent without leave (AWOL). Includes other conditional release violators, returns from appeal or bone, and other admissions. See Methodology.",,,,,,,,,,,,,,,,,,,,,
b/Type of admission is estimated for Alaska based on previous years’ data.,,,,,,,,,,,,,,,,,,,,,
c/Includes all conditional release violators returned to prison for either violations of conditions of release or for new crimes.,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,,,,,,,,,,,,
