Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p12tar9112at07.csv,,,,,,,,,,,,,,
"Appendix table 7. Prisoners held in the custody of private prisons and local jails, December 31, 2011 and 2012",,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Appendix table 7. Prisoners held in the custody of private prisons and local jails, December 31, 2011 and 2012",,,,,,,,,,,,,,
,,Inmates held in private prisons/a,,,,,,,Inmates held in local jails,,,,,
Jurisdiction,,2011,2012,Percent change 2011–2012,,"Percentage of total jurisdiction, 2012",,,2011,2012,Percent change 2011–2012,,"Percentage of total jurisdiction, 2012",
,U.S. Total,"130,972","137,220",4.8,%,8.7,%,,"82,053","83,603",1.9,%,5.3,%
Federal/b,,"38,546","40,446",4.9,,18.6,,,"1,439",795,-44.8,,0.4,
State,,"92,426","96,774",4.7,%,7.1,%,,"80,614","82,808",2.7,%,6.1,%
,Alabama,545,538,-1.3,,1.7,,,"2,148","2,382",10.9,,7.3,
,Alaskac,"1,688","1,733",2.7,,30.8,,,0,0,0,,0,
,Arizona,"6,457","6,435",-0.3,,16.1,,,0,0,0,,0,
,Arkansas,0,0,0,,0,,,883,584,-33.9,,4,
,California,697,608,-12.8,,0.5,,,57,0,-100,,0,
,Colorado,"4,303","3,939",-8.5,,19.3,,,116,134,15.5,,0.7,
,Connecticut/c,855,817,-4.4,,4.7,,,0,0,0,,0,
,Delaware/c,0,0,0,,0,,,0,0,0,,0,
,Florida,"11,827","11,701",-1.1,,11.5,,,"1,267","1,197",-5.5,,1.2,
,Georgia,"5,615","7,900",40.7,,14.2,,,"3,100","4,896",57.9,,8.8,
,Hawaii/c,"1,767","1,636",-7.4,,28.1,,,0,0,0,,0,
,Idaho,"2,332","2,725",16.9,,34.1,,,588,467,-20.6,,5.8,
,Illinois/d,0,/,/,,/,,,0,/,/,,/,
,Indiana,"2,952","4,251",44,,14.7,,,"1,504",797,-47,,2.8,
,Iowa,0,0,0,,0,,,0,0,0,,0,
,Kansas,74,83,12.2,,0.9,,,1,0,-100,,0,
,Kentucky,"2,050",812,-60.4,,3.7,,,"7,190","8,487",18,,38.4,
,Louisiana,"2,951","2,956",0.2,,7.4,,,"20,866","21,571",3.4,,53.7,
,Maine,0,0,0,,0,,,110,72,-34.5,,3.4,
,Maryland,78,27,-65.4,,0.1,,,151,178,17.9,,0.8,
,Massachusetts,0,0,0,,0,,,163,196,20.2,,1.7,
,Michigan,0,0,0,,0,,,36,42,16.7,,0.1,
,Minnesota,0,0,0,,0,,,562,614,9.3,,6.2,
,Mississippi,"4,669","4,334",-7.2,,19.4,,,"5,996","6,528",8.9,,29.2,
,Missouri,0,0,0,,0,,,0,0,0,,0,
,Montana,"1,418","1,418",0,,39.3,,,523,488,-6.7,,13.5,
,Nebraska,0,0,0,,0,,,56,32,-42.9,,0.7,
,Nevada/d,0,/,/,,/,,,100,102,2,,0.8,
,New Hampshire,0,0,0,,0,,,20,43,115,,1.5,
,New Jersey,"2,887","2,717",-5.9,,11.7,,,200,109,-45.5,,0.5,
,New Mexico,"2,853","2,999",5.1,,44.6,,,0,0,0,,0,
,New York,0,0,0,,0,,,14,0,-100,,0,
,North Carolina,30,30,0,,0.1,,,0,0,0,,0,
,North Dakota,0,0,0,,0,,,55,106,92.7,,7,
,Ohio,"3,004","5,343",77.9,,10.5,,,0,0,0,,0,
,Oklahoma,"6,026","6,423",6.6,,25.5,,,"2,088","2,373",13.6,,9.4,
,Oregon,0,0,0,,0,,,0,0,0,,0,
,Pennsylvania,"1,195","1,219",2,,2.4,,,609,489,-19.7,,1,
,Rhode Island/c,0,0,0,,0,,,0,0,0,,0,
,South Carolina,20,16,-20,,0.1,,,366,374,2.2,,1.7,
,South Dakota,11,15,36.4,,0.4,,,73,64,-12.3,,1.8,
,Tennessee,"5,147","5,165",0.3,,18.2,,,"8,660","8,618",-0.5,,30.3,
,Texas,"18,603","18,617",0.1,,11.2,,,"11,906","10,814",-9.2,,6.5,
,Utah,0,0,0,,0,,,"1,529","1,574",2.9,,22.6,
,Vermont/c,522,504,-3.4,,24.8,,,0,0,0,,0,
,Virginia,"1,569","1,559",-0.6,,4.2,,,"7,474","7,389",-1.1,,19.9,
,Washington,0,0,0,,0,,,386,279,-27.7,,1.6,
,West Virginia,0,0,0,,0,,,"1,677","1,735",3.5,,24.5,
,Wisconsin,36,18,-50,,0.1,,,149,70,-53,,0.3,
,Wyoming,245,236,-3.7,,10.7,,,9,4,-55.6,,0.2,
"Note: As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,
"a/Includes prisoners held in the jurisdiction’s own private facilities, as well as private facilities in another state.",,,,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure, privately operated facilities (8,932), as well as prisoners on home confinement (2,659).",,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,
d/State did not submit 2012 National Prisoner Statistics (NPS) Program data. Local jail value for Nevada estimated based on 2011 data.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2011, 2012.",,,,,,,,,,,,,,
