Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112at11.csv,,,,,,,,,,,,,,,,,,,,,
"Appendix table 11. Sentenced federal prisoners, by sex and most serious offense, December 31, 2002, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program",,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Appendix table 11. Sentenced federal prisoners, by sex and most serious offense, December 31, 2002, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
,,2002,,,,,,,2011,,,,,,,2012,,,,,
Most serious offense,,All inmates,,Male,,Female,,,All inmates,,Male,,Female,,,All inmates,,Male,,Female,
,Total,"143,040",,"133,732",,"9,308",,,"197,050",,"184,901",,"12,149",,,"196,574",,"184,258",,"12,316",
Violent,,9.5,%,9.8,%,4.7,%,,7.6,%,7.7,%,4.9,%,,5.9,%,6.1,%,3.8,%
,Homicide/a,0.9,,0.9,,0.7,,,1.4,,1.4,,1.5,,,0.7,,0.7,,0.9,
,Robbery,6.7,,7,,3.3,,,4.1,,4.2,,2,,,3.6,,3.7,,1.7,
,Other violent,1.9,,2,,0.8,,,2,,2,,1.4,,,1.6,,1.7,,1.2,
Property,,7.1,%,6.4,%,16.1,%,,5.4,%,4.7,%,16.4,%,,5.9,%,5,%,18.8,%
,Burglary,0.2,,0.2,,0.1,,,0.2,,0.2,,0.2,,,0.1,,0.1,,0.1,
,Fraud,4.6,,4.1,,11.2,,,3.9,,3.3,,13.2,,,4.5,,3.8,,15.1,
,Other property,2.3,,2.1,,4.8,,,1.3,,1.2,,3.1,,,1.3,,1.2,,3.6,
Drug/b,,56.7,%,55.9,%,66.2,%,,48,%,47.4,%,57,%,,50.6,%,50.1,%,57.9,%
Public order,,26,%,27.1,%,12.2,%,,35,%,36.1,%,17.3,%,,36.9,%,38.1,%,18.7,%
,Immigration,10.9,,11.5,,3.4,,,11.2,,11.6,,5.1,,,12.1,,12.5,,5.5,
,Weapons,9.6,,10.1,,2.2,,,15.1,,15.8,,4.2,,,15.3,,16,,3.9,
,Other,5.6,,5.5,,6.6,,,8.7,,8.7,,8.1,,,9.6,,9.6,,9.3,
Other/unspecified/c,,0.8,%,0.8,%,0.8,%,,:,%,:,%,:,%,,0.7,%,0.7,%,0.8,%
Note: Counts are based on prisoners with a sentence of more than 1 year under federal jurisdiction. See Methodology.,,,,,,,,,,,,,,,,,,,,,
: Not calculated. 2011 data included individuals commiting drug and public order crimes that could not be separated from valid unspecified records.,,,,,,,,,,,,,,,,,,,,,
"a/Includes murder, negligent, and non-negligent manslaughter.",,,,,,,,,,,,,,,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,,,,,,,,,
c/Includes offenses not classified.,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and Federal Justice Statistics Program, 2002, 2011, and 2012.",,,,,,,,,,,,,,,,,,,,,
