Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p12tar9112t16.csv,,,,,,,,,,,,,,,
"Table 16. California state prison releases, by type of release and county of sentencing, 2012",,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,
"Data source(s): National Corrections Reporting Program, Department of Finance, State of California",,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"Table 16. California state prison releases, by type of release and county of sentencing, 2012",,,,,,,,,,,,,,,
,,All releases,,,,Unconditional releases/a,,,,Conditional releases/b,,,,County general population,
County/c,,Count,Percent of total state releases,,,Count,Percent of total county releases,,,Count,Percent of total county releases,,,"Total, July 1, 2012/d","Release rate per 10,000 residents/e"
,Total,"48,621",100,%,,"29,920",~,,,"18,346",~,,,"37,826,160",12.9
Alameda,,"1,117",2.3,%,,488,43.7,%,,622,55.7,%,,"1,540,790",7.2
Alpine,,0,0,,,0,/,,,0,/,,,"1,127",/
Amador,,65,0.1,,,53,81.5,,,12,18.5,,,"36,899",17.6
Butte,,438,0.9,,,299,68.3,,,133,30.4,,,"221,118",19.8
Calaveras,,53,0.1,,,35,66,,,18,34,,,"45,045",11.8
Colusa,,31,0.1,,,13,41.9,,,18,58.1,,,"21,614",14.3
Contra Costa,,462,1,,,232,50.2,,,227,49.1,,,"1,069,803",4.3
Del Norte,,38,0.1,,,22,57.9,,,15,39.5,,,"28,359",13.4
El Dorado,,136,0.3,,,80,58.8,,,53,39,,,"180,599",7.5
Fresno,,"1,739",3.6,,,"1,117",64.2,,,613,35.3,,,"946,823",18.4
Glenn,,41,0.1,,,23,56.1,,,16,39,,,"28,208",14.5
Humboldt,,229,0.5,,,155,67.7,,,73,31.9,,,"134,923",17
Imperial,,144,0.3,,,92,63.9,,,51,35.4,,,"178,659",8.1
Inyo,,18,0,,,6,33.3,,,11,61.1,,,"18,637",9.7
Kern,,"1,889",3.9,,,"1,322",70,,,560,29.6,,,"855,522",22.1
Kings,,507,1,,,337,66.5,,,169,33.3,,,"150,843",33.6
Lake,,127,0.3,,,77,60.6,,,47,37,,,"64,394",19.7
Lassen,,33,0.1,,,27,81.8,,,6,18.2,,,"33,650",9.8
Los Angeles,,"14,817",30.5,,,"9,300",62.8,,,"5,398",36.4,,,"9,911,665",14.9
Madera,,210,0.4,,,136,64.8,,,74,35.2,,,"151,790",13.8
Marin,,85,0.2,,,47,55.3,,,36,42.4,,,"254,882",3.3
Mariposa,,20,0,,,15,75,,,5,25,,,"17,817",11.2
Mendocino,,97,0.2,,,53,54.6,,,44,45.4,,,"88,566",11
Merced,,302,0.6,,,172,57,,,130,43,,,"261,708",11.5
Modoc,,7,0,,,4,57.1,,,3,42.9,,,"9,518",7.4
Mono,,4,0,,,2,50,,,2,50,,,"14,258",2.8
Monterey,,522,1.1,,,292,55.9,,,228,43.7,,,"422,868",12.3
Napa,,142,0.3,,,72,50.7,,,70,49.3,,,"138,577",10.2
Nevada,,47,0.1,,,30,63.8,,,16,34,,,"98,202",4.8
Orange,,"2,870",5.9,,,"1,701",59.3,,,"1,152",40.1,,,"3,071,933",9.3
Placer,,285,0.6,,,191,67,,,92,32.3,,,"360,680",7.9
Plumas,,25,0.1,,,16,64,,,9,36,,,"19,523",12.8
Riverside,,"2,942",6.1,,,"1,828",62.1,,,"1,087",36.9,,,"2,244,399",13.1
Sacramento,,"1,887",3.9,,,"1,089",57.7,,,778,41.2,,,"1,439,874",13.1
San Benito,,61,0.1,,,38,62.3,,,23,37.7,,,"56,527",10.8
San Bernardino,,"4,402",9.1,,,"2,785",63.3,,,"1,594",36.2,,,"2,065,016",21.3
San Diego,,"3,528",7.3,,,"2,182",61.8,,,"1,318",37.4,,,"3,147,220",11.2
San Francisco,,474,1,,,260,54.9,,,207,43.7,,,"820,349",5.8
San Joaquin,,"1,076",2.2,,,618,57.4,,,452,42,,,"699,003",15.4
