Bureau of Justice Statistics,,,,,,,,,,,
Filename: p13t01.csv,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2003–2013",,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2003–2013",,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,
2003,,"1,468,601",,"173,059",,"1,295,542",,"1,367,755",,"100,846",
2004,,"1,497,100",,"180,328",,"1,316,772",,"1,392,278",,"104,822",
2005,,"1,525,910",,"187,618",,"1,338,292",,"1,418,392",,"107,518",
2006,,"1,568,674",,"193,046",,"1,375,628",,"1,456,366",,"112,308",
2007,,"1,596,835",,"199,618",,"1,397,217",,"1,482,524",,"114,311",
2008,,"1,608,282",,"201,280",,"1,407,002",,"1,493,670",,"114,612",
2009,,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013/b,,"1,574,741",,"215,866",,"1,358,875",,"1,463,454",,"111,287",
Percent change,,,,,,,,,,,
,"Average annual, 2003–2012",0.7,%,2.2,%,0.5,%,0.7,%,1,%
,2012–2013,0.3,,-0.9,,0.5,,0.1,,2.3,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held.",,,,,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,
"b/Total and state estimates include imputed counts for Nevada. In addition, Alaska did not submit sex-specific jurisdiction counts to NPS in 2013. See Methodology for imputation strategy.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2003–2013.",,,,,,,,,,,
