Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p13t12.csv,,,,,,,,,,,,,,
"Table 12. Prisoners held in the custody of private prisons and local jails, December 31, 2012 and 2013",,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 12. Prisoners held in the custody of private prisons and local jails, December 31, 2012 and 2013",,,,,,,,,,,,,,
,,Inmates held in private prisons/a,,,,,,,Inmates held in local jails,,,,,
Jurisdiction,,2012,2013,Percent change 2012–2013,,"Percentage of total jurisdiction, 2013",,,2012,2013,Percent change 2012–2013,,"Percentage of total jurisdiction, 2013",
,U.S. total,"137,220","133,044",-3,%,8.4,%,,"83,501","85,648",2.6,%,5.4,%
Federal/b,,"40,446","41,159",1.8,%,19.1,%,,795,788,-0.9,%,0.4,%
State,,"96,774","91,885",-5.1,%,6.8,%,,"82,706","84,860",2.6,%,6.2,%
,Alabama,538,554,3,,1.7,,,"2,382","2,090",-12.3,,6.5,
,"Alaska/c,d","1,733",27,-98.4,,0.5,,,0,0,--,,0,
,Arizona,"6,435","6,405",-0.5,,15.6,,,0,0,~,,0,
,Arkansas,0,0,~,,0,,,584,"2,916",399.3,,16.9,
,California,608,"2,026",233.2,,1.5,,,0,0,~,,0,
,Colorado,"3,939","3,898",-1,,19.1,,,134,187,39.6,,0.9,
,Connecticut/c,817,725,-11.3,,4.1,,,0,0,~,,0,
,Delaware/c,0,0,~,,0,,,0,0,~,,0,
,Florida,"11,701","11,801",0.9,,11.5,,,"1,197","1,175",-1.8,,1.1,
,Georgia,"7,900","7,900",0,,14.6,,,"4,896","4,887",-0.2,,9,
,Hawaii/c,"1,636","1,421",-13.1,,25.2,,,0,0,~,,0,
,Idaho,"2,725","2,745",0.7,,36.4,,,467,662,41.8,,8.8,
,Illinois,/,0,~,,~,,,/,0,~,,~,
,Indiana,"4,251","4,438",4.4,,14.8,,,797,"1,418",77.9,,4.7,
,Iowa,0,0,~,,0,,,0,0,~,,0,
,Kansas,83,95,14.5,,1,,,0,3,~,,0,
,Kentucky,812,0,-100,,0,,,"8,487","8,213",-3.2,,39.1,
,Louisiana,"2,956","3,158",6.8,,8,,,"21,571","20,505",-4.9,,52.2,
,Maine,0,0,~,,0,,,72,65,-9.7,,3,
,Maryland,27,29,7.4,,0.1,,,178,130,-27,,0.6,
,Massachusetts,0,0,~,,0,,,196,329,67.9,,3,
,Michigan,0,0,~,,0,,,42,55,31,,0.1,
,Minnesota,0,0,~,,0,,,614,963,56.8,,9.4,
,Mississippi,"4,334","4,394",1.4,,20,,,"6,528","6,378",-2.3,,29,
,Missouri,0,0,~,,0,,,0,0,~,,0,
,Montana,"1,418","1,459",2.9,,40.1,,,488,497,1.8,,13.6,
,Nebraska,0,0,~,,0,,,32,47,46.9,,0.9,
,Nevada/e,/,/,~,,~,,,/,/,~,,~,
,New Hampshire,0,0,~,,0,,,43,27,-37.2,,0.9,
,New Jersey,"2,717","2,735",0.7,,12.2,,,109,119,9.2,,0.5,
,New Mexico,"2,999","2,984",-0.5,,43.6,,,0,0,~,,0,
,New York,0,0,~,,0,,,0,10,~,,0,
,North Carolina,30,30,0,,0.1,,,0,0,~,,0,
,North Dakota,0,0,~,,0,,,106,9,-91.5,,0.6,
,Ohio,"5,343","5,487",2.7,,10.6,,,0,0,~,,0,
,Oklahoma,"6,423","7,051",9.8,,25.6,,,"2,373","2,406",1.4,,8.7,
,Oregon,0,0,~,,0,,,0,5,~,,0,
,Pennsylvania,"1,219",546,-55.2,,1.1,,,489,857,75.3,,1.7,
,Rhode Island/c,0,0,~,,0,,,0,0,~,,0,
