Bureau of Justice Statistics,,
Filename: p14at01.csv,,
"Appendix table 1. Admissions to and releases from state prison, 2004-2014",,
Report title: Prisoners in 2014 NCJ 248955,,
Data source(s): National Prisoner Statistics Program,,
Author(s): E. Ann Carson,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 09/08/2015,,
,,
"Appendix table 1. Admissions to and releases from state prison, 2004-2014",,
Year,Admissions,Releases
2004,"644,084","625,578"
2005,"674,084","653,309"
2006,"689,536","661,954"
2007,"689,257","672,397"
2008,"684,987","683,303"
2009,"672,533","679,029"
2010,"649,677","656,190"
2011,"610,917","635,833"
2012,"552,504","580,679"
2013,"576,298","569,205"
2014,"575,779","581,817"
"Note: Counts based on prisoners with a sentence of more than 1 year. Excludes transfers, escapes, and those absent without leave (AWOL), and includes other conditional release violators, returns from appeal or bond, and other admissions. See Methodology.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2014–2014.",,
