Bureau of Justice Statistics,,
Filename: p14at02.csv,,
"Appendix table 2. Admissions to and releases from federal prison, 2004-2014",,
Report title: Prisoners in 2014 NCJ 248955,,
Data source(s): National Prisoner Statistics Program,,
Author(s): E. Ann Carson,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 09/08/2015,,
,,
"Appendix table 2. Admissions to and releases from federal prison, 2004-2014",,
Year,Admissions,Releases
2004,"52,982","46,624"
2005,"56,057","48,323"
2006,"57,495","47,920"
2007,"53,618","48,764"
2008,"53,662","52,348"
2009,"56,153","50,720"
2010,"54,121","52,487"
2011,"60,634","55,239"
2012,"55,938","56,037"
2013,"53,664","54,785"
2014,"50,865","54,529"
"Note: Counts based on prisoners with a sentence of more than 1 year. Excludes transfers, escapes, and those absent without leave (AWOL), and includes other conditional release violators, returns from appeal or bond, and other admissions. See Methodology.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2014–2014.",,
