Bureau of Justice Statistics,,
Filename: p14f03.csv,,
"Figure 3. Percent change decline or increase in prisoners under the jurisdiction of state or federal correctional authorities, by state, 2013–2014  ",,
Report title: Prisoners in 2014 NCJ 248955,,
Data source(s): National Prisoner Statistics Program,,
Author(s): E. Ann Carson,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 09/08/2015,,
,,
,,
"Figure 3. Percent change decline or increase in prisoners under the jurisdiction of state or federal correctional authorities, by state, 2013–2014  ",,
Mississippi,-14.5,%
Vermont,-4.8,
New Jersey,-3.8,
Louisiana,-3.2,
South Carolina,-3,
Oregon,-2.8,
Federal,-2.5,
Massachusetts,-2.2,
Indiana,-2.1,
South Dakota,-2,
Georgia,-2,
Alabama,-1.9,
New York,-1.9,
New Hampshire,-1.8,
Maryland,-1.5,
Idaho,-1.5,
Pennsylvania,-1.4,
Texas,-1.3,
Michigan,-0.8,
Illinois,-0.8,
Utah,-0.7,
Delaware,-0.7,
Ohio,-0.4,
Florida,-0.2,
Rhode Island,-0.1,
California,0.1,
Oklahoma,0.4,
North Carolina,0.5,
Washington,0.8,
Tennesee,0.9,
West Virginia,1.1,
Missouri,1.3,
New Mexico,1.3,
Colorado,1.3,
Virginia,1.5,
Montana,1.6,
Iowa,1.6,
Arizona,2.6,
Kentucky,3,
Wyoming,3.2,
Maine,3.2,
Minnesota,3.4,
Arkansas,3.7,
Hawaii,4.2,
Nebraska,8.3,
North Dakota,9,
,,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts based on all prisoners under the jurisdiction of state and federal correctional authorities. Alaska, Connecticut, Kansas, Nevada, and Wisconsin could not be calculated. See table 2 for detail.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2013–2014.",,
