Bureau of Justice Statistics,,,,,,,,,,,
Filename: p14t01.csv,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2004–2014",,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2004–2014",,,,,,,,,,,
Year,Total,,Federal/a,,State,,Male,,Female,,
2004,"1,497,100",,"180,328",,"1,316,772",,"1,392,278",,"104,822",,
2005,"1,525,910",,"187,618",,"1,338,292",,"1,418,392",,"107,518",,
2006,"1,568,674",,"193,046",,"1,375,628",,"1,456,366",,"112,308",,
2007,"1,596,835",,"199,618",,"1,397,217",,"1,482,524",,"114,311",,
2008,"1,608,282",,"201,280",,"1,407,002",,"1,493,670",,"114,612",,
2009,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",,
2010,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",,
2011,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",,
2012,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",,
2013/b,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",,
2014/c,"1,561,525",,"210,567",,"1,350,958",,"1,448,564",,"112,961",,
Percent change,,,,,,,,,,,
,"Average annual, 2004–2013",0.5,%,1.8,%,0.3,%,0.5,%,0.6,%
,2013–2014,-1,,-2.5,,-0.7,,-1.2,,1.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held.",,,,,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,
"b/Nevada did not submit 2013 National Prisoner Statistics (NPS) data, and Alaska did not submit sex-specific jurisdiction counts to NPS in 2013, so data for these states were imputed. See Methodology.",,,,,,,,,,,
"c/Total and state estimates include imputed counts for Alaska, which did not submit 2014 NPS data. See Methodology.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2004–2014.",,,,,,,,,,,
