Bureau of Justice Statistics,,,,,,,,,,,
Filename: p14t03.csv,,,,,,,,,,,
"Table 3. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2004–2014",,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,
 ,,,,,,,,,,,
"Table 3. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2004–2014",,,,,,,,,,,
Year,Total,,Federal/a,,State,,Male,,Female,,
2004,"1,433,728",,"159,137",,"1,274,591",,"1,337,730",,"95,998",,
2005,"1,462,866",,"166,173",,"1,296,693",,"1,364,178",,"98,688",,
2006,"1,504,598",,"173,533",,"1,331,065",,"1,401,261",,"103,337",,
2007,"1,532,851",,"179,204",,"1,353,647",,"1,427,088",,"105,763",,
2008,"1,547,742",,"182,333",,"1,365,409",,"1,441,384",,"106,358",,
2009,"1,553,574",,"187,886",,"1,365,688",,"1,448,239",,"105,335",,
2010,"1,552,669",,"190,641",,"1,362,028",,"1,447,766",,"104,903",,
2011,"1,538,847",,"197,050",,"1,341,797",,"1,435,141",,"103,706",,
2012,"1,512,430",,"196,574",,"1,315,856",,"1,411,076",,"101,354",,
2013/b,"1,520,403",,"195,098",,"1,325,305",,"1,416,102",,"104,301",,
2014/c,"1,508,636",,"191,374",,"1,317,262",,"1,402,404",,"106,232",,
Percent change,,,,,,,,,,,
,"Average annual, 2004–2013",0.6,%,2,%,0.4,%,0.6,%,0.8,%
,2013–2014,-0.8,,-1.9,,-0.6,,-1,,1.9,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials.",,,,,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,
"b/Nevada did not submit 2013 National Prisoner Statistics (NPS) data, and Alaska did not submit sex-specific jurisdiction counts to NPS in 2013, so data for these states were imputed. See Methodology for imputation strategy.",,,,,,,,,,,
"c/Total and state estimates include imputed counts for Alaska, which did not submit 2014 NPS data. See Methodology for imputation strategy.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2004–2014.",,,,,,,,,,,
