Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p14t09.csv,,,,,,,,,,,,,,
"Table 9. Prisoners held in the custody of private prisons and local jails, December 31, 2013 and 2014",,,,,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 9. Prisoners held in the custody of private prisons and local jails, December 31, 2013 and 2014",,,,,,,,,,,,,,
,,Inmates held in private prisonsa,,Inmates held in local jails,,,,,,,,,,
Jurisdiction,,2013,2014,Percent change 2013–2014,,"Percent of total jurisdiction, 2014",,,2013,2014,Percent change 2013–2014,,"Percent of total jurisdiction, 2014",
,U.S. total/a,"133,363","131,261",-1.6,%,8.4,%,,"85,662","81,738",-4.6,%,5.2,%
Federal/b,,"41,159","40,017",-2.8,%,19,%,,788,939,19.2,%,0.4,%
State/a,,"92,204","91,244",-1,%,6.8,%,,"84,874","80,799",-4.8,%,6,%
,Alabama,554,481,-13.2,,1.5,,,"2,090","1,702",-18.6,,5.4,
,"Alaska/c,d",27,28,3.7,,:,,,0,0,~,,~,
,Arizona,"6,405","6,955",8.6,,16.5,,,0,0,~,,~,
,Arkansas,0,0,~,,~,,,"2,916","2,600",-10.8,,14.5,
,California,"2,026","2,376",17.3,,1.7,,,0,0,~,,~,
,Colorado,"3,898","3,782",-3,,18.3,,,187,176,-5.9,,0.9,
,Connecticut/c,725,647,-10.8,,3.9,,,0,0,~,,~,
,Delaware/c,0,0,~,,~,,,0,0,~,,~,
,Florida,"11,801","12,395",5,,12,,,"1,175","1,104",-6,,1.1,
,Georgia,"7,900","7,901",0,,14.9,,,"4,887","4,946",1.2,,9.3,
,Hawaii/c,"1,421","1,425",0.3,,24.3,,,0,0,~,,~,
,Idaho,"2,745",639,-76.7,,7.9,,,662,620,-6.3,,7.6,
,Illinois,0,0,~,,~,,,0,0,~,,~,
,Indiana,"4,438","4,420",-0.4,,15.1,,,"1,418","1,198",-15.5,,4.1,
,Iowa,0,0,~,,~,,,0,0,~,,~,
,Kansas,95,105,10.5,,1.1,,,3,90,"2,900.00",,0.9,
,Kentucky,0,0,~,,~,,,"8,213","8,966",9.2,,41.4,
,Louisiana,"3,158","3,142",-0.5,,8.3,,,"20,505","19,320",-5.8,,50.8,
,Maine,0,0,~,,~,,,65,26,-60,,1.2,
,Maryland,29,30,3.4,,0.1,,,130,95,-26.9,,0.5,
,Massachusetts,0,0,~,,~,,,329,279,-15.2,,2.6,
,Michigan,0,0,~,,~,,,55,31,-43.6,,0.1,
,Minnesota,0,0,~,,~,,,963,997,3.5,,9.4,
,Mississippi,"4,394","4,114",-6.4,,21.9,,,"6,378","5,568",-12.7,,29.6,
,Missouri,0,0,~,,~,,,0,0,~,,~,
,Montana,"1,459","1,432",-1.9,,38.7,,,497,515,3.6,,13.9,
,Nebraska,0,0,~,,~,,,47,212,351.1,,3.9,
,Nevada/e,/,0,:,,~,,,/,97,:,,0.8,
,New Hampshire,0,0,~,,~,,,41,69,68.3,,2.3,
,New Jersey,"2,735","2,761",1,,12.8,,,119,110,-7.6,,0.5,
,New Mexico,"2,984","3,072",2.9,,43.8,,,0,0,~,,~,
,New York,0,0,~,,~,,,10,8,-20,,0,
,North Carolina,30,30,0,,0.1,,,0,0,~,,~,
,North Dakota,319,371,16.3,,21.6,,,9,12,33.3,,0.7,
,Ohio,"5,487","5,370",-2.1,,10.4,,,0,0,~,,~,
,Oklahoma,"7,051","7,367",4.5,,26.3,,,"2,406","1,079",-55.2,,3.8,
,Oregon,0,0,~,,~,,,5,0,-100,,0,
,Pennsylvania,546,636,16.5,,1.3,,,857,894,4.3,,1.8,
,Rhode Island/c,0,0,~,,~,,,0,0,~,,~,
,South Carolina,15,15,0,,0.1,,,364,298,-18.1,,1.4,
,South Dakota,16,10,-37.5,,0.3,,,53,76,43.4,,2.1,
,Tennessee,"5,103","5,116",0.3,,17.8,,,"7,790","7,987",2.5,,27.8,
,Texas,"14,538","14,368",-1.2,,8.7,,,"12,527","11,395",-9,,6.9,
,Utah,0,0,~,,~,,,"1,626","1,668",2.6,,23.7,
,Vermont/c,499,431,-13.6,,21.8,,,0,0,~,,~,
,Virginia,"1,554","1,570",1,,4.2,,,"6,974","7,449",6.8,,19.8,
,Washington,0,0,~,,~,,,163,167,2.5,,0.9,
,West Virginia,0,0,~,,~,,,"1,116","1,029",-7.8,,14.9,
,Wisconsin,0,0,~,,~,,,11,7,-36.4,,0,
,Wyoming,252,255,1.2,%,10.7,%,,16,9,-43.8,,0.4,
:Not calculated.,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,
"a/Includes prisoners held in the jurisdiction’s own private facilities, as well as private facilities in another state.",,,,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure privately operated facilities (9,480), as well as prisoners on home confinement (3,473).",,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,
d/State did not submit 2014 National Prisoner Statistics (NPS) data. See Methodology.,,,,,,,,,,,,,,
e/State did not submit 2013 NPS data. See Methodology.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2013–2014.",,,,,,,,,,,,,,
