Bureau of Justice Statistics,,,,,,,,,,
Filename: p14t13.csv,,,,,,,,,,
"Table 13.  Prisoners under military jurisdiction, by branch of service, December 31, 2013 and 2014",,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,
,,,,,,,,,,
"Table 13.  Prisoners under military jurisdiction, by branch of service, December 31, 2013 and 2014",,,,,,,,,,
,,Total population/a,,,,,Sentenced population/b,,,
,,2013,2014,"Percent change, 2013–2014",,,2013,"2,014","Percent change, 2013–2014",
,Total number of prisoners,"1,421","1,409",-1,%,,"1,056","1,070",1.3,%
Military branch of service,,,,,,,,,,
,Air Force,287,246,-14.3,%,,215,194,-9.8,%
,Army,685,692,1,,,552,576,4.3,
,Marine Corps,241,230,-5,,,139,134,-3.6,
,Navy,195,218,12,,,145,152,4.8,
,Coast Guard,13,23,77,,,5,14,:,
In custody of—,,,,,,,,,,
,Air Force,37,34,-8.1,%,,4,5,:,
,Army,817,825,1,,,690,714,3.5,%
,Marine Corps,65,78,20,,,2,13,:,
,Navy,502,472,-6,,,360,338,-6,
: Not calculated.,,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length. ",,,,,,,,,,
b/Includes prisoners sentenced to more than 1 year under military jurisdiction.,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2013–2014.",,,,,,,,,,
