Bureau of Justice Statistics,,,,,,,,,
File name: p15at07.csv,,,,,,,,,
"Appendix Table 7. Prisoners under the jurisdiction of military correctional authority, by branch of service, December 31, 2014 and 2015",,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2014–2015.",,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,
,,,,,,,,,
"Appendix Table 7. Prisoners under the jurisdiction of military correctional authority, by branch of service, December 31, 2014 and 2015",,,,,,,,,
,,Total population/a,,,,Sentenced population/b,,,
Jurisdiction,,2014,2015,"Percent change, 2014–2015",,2014,2015,"Percent change, 2014–2015",
,Total number of prisoners,"1,409","1,398",-0.8,%,"1,070","1,092",2.1,%
Military branch of service,,,,,,,,,
,Air Force,246,250,1.6,%,194,187,-3.6,%
,Army,692,668,-3.5,,576,589,2.3,
,Marine Corps,230,255,10.9,,134,157,17.2,
,Navy,218,202,-7.3,,152,141,-7.2,
,Coast Guard,23,23,0,,14,18,28.6,
In custody of—,,,,,,,,,
,Air Force,34,33,-2.9,%,5,2,:,
,Army,825,802,-2.8,,714,736,3.1,%
,Marine Corps,78,80,2.6,,13,13,0,
,Navy,472,483,2.3,,338,341,0.9,
: Not calculated.,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length.",,,,,,,,,
b/Includes prisoners sentenced to more than 1 year under military jurisdiction.,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2014–2015.",,,,,,,,,
